        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     6.926848   283.688113   363.639494   620.810500     0.215768    96.365987    39.784465    56.581522    37.434750    37.805945     0.086075   285.776526   279.198060     4.480040     0.043208     0.108153
      1851.0     5.453004   286.521797   364.241208   620.683316     0.484747    95.940004    38.595351    57.344653    38.042717    37.809240     0.086075   286.105981   279.559469     4.475019     0.184397    -0.106294
      1852.0     6.359020   289.385414   363.509324   620.165906     0.724680    96.219039    39.244773    56.974266    38.108936    37.411344     0.086311   286.210982   279.801523     4.476703     2.565313    -0.180183
      1853.0     8.081633   292.288950   364.346892   620.090775     0.898436    97.251444    39.977533    57.273911    37.369873    37.958634     0.086075   285.882828   279.417100     4.474576     1.181332     0.663892
      1854.0     8.369099   295.202444   365.008402   620.340388     1.272243    97.076944    39.663583    57.413361    37.093229    37.530624     0.086075   285.892610   279.400137     4.479417     1.471449     0.187782
      1855.0     8.077646   298.155887   365.382279   620.682210     1.275585    98.243830    40.101097    58.142734    37.960524    38.020017     0.086075   286.099975   279.729382     4.480665     1.707204    -0.282330
      1856.0     8.250413   301.139232   365.765578   620.687823     1.302895    98.674152    40.142926    58.531226    37.845531    37.989716     0.086311   286.173336   279.944502     4.482103     1.769911     0.138572
      1857.0    11.072321   304.152509   367.818501   621.396321     1.509820   103.111910    42.886053    60.225857    38.008011    39.738797     0.086075   285.819642   279.242542     4.484777     1.094333     1.022288
      1858.0     9.421398   307.195749   369.080454   622.230144     1.690761   102.972870    42.232158    60.740712    39.233831    39.513357     0.086075   286.270700   279.956619     4.480732     1.456847    -0.554298
      1859.0     9.403951   310.268890   369.549334   622.685079     1.813345   101.848823    41.668825    60.179997    38.902030    39.331617     0.086075   286.285964   279.982812     4.494553     1.868329    -0.025348
      1860.0    10.398767   313.371994   371.144687   622.799524     1.980250   104.101047    42.591932    61.509115    39.055467    39.274425     0.086311   286.359958   280.142752     4.506720     1.722153     0.104513
      1861.0    11.404580   316.505000   372.841840   623.424873     1.680776   105.599365    43.685524    61.913840    38.873508    39.687916     0.086075   286.015684   279.705829     4.517651     2.300456     0.189058
      1862.0    11.824087   319.667968   375.227495   624.610185     1.939587   106.792175    44.044326    62.747849    39.063754    40.559820     0.086075   286.065913   279.590445     4.521609     1.098851     0.310754
      1863.0    12.273470   322.860838   377.689352   625.527253     2.095405   110.263387    45.539618    64.723769    40.303862    41.538225     0.086075   286.241236   279.899138     4.531125     1.539536     0.317294
      1864.0    10.783804   326.093658   378.989527   626.810932     2.343692   107.527988    43.674834    63.853154    40.290961    41.145936     0.086311   286.489335   280.183733     4.540024     1.228723    -0.428704
      1865.0    10.957533   329.356379   379.965624   627.323290     2.431530   107.032051    43.699639    63.332412    40.171933    40.683499     0.086075   286.534975   280.326066     4.548908     2.040042    -0.000792
      1866.0    12.754617   332.649063   382.203977   627.776466     2.497072   110.305335    45.529490    64.775845    40.416668    41.133443     0.086075   286.435794   280.309952     4.556020     2.157694     0.263598
      1867.0    13.722486   335.971649   385.210256   628.750084     2.422030   112.772545    46.809255    65.963290    40.584540    41.963636     0.086075   286.282788   279.904667     4.563537     1.839340     0.405478
      1868.0    13.439012   339.334154   387.997310   629.901334     2.625556   114.155493    47.038604    67.116889    41.474167    42.613215     0.086311   286.520078   280.249024     4.581996     1.638335    -0.012202
      1869.0    12.145573   342.726592   389.856122   631.014027     2.601889   111.808173    45.619316    66.188857    41.465109    42.454826     0.086075   286.707662   280.614037     4.594718     1.305677    -0.122976
      1870.0    13.116469   346.148992   391.799241   631.909802     2.561747   112.372811    46.388852    65.983960    41.198679    42.469552     0.086075   286.470367   280.012775     4.602541     1.976181     0.375098
      1871.0    13.806736   349.611281   394.493352   632.946415     2.787062   114.714961    47.418360    67.296600    41.857238    42.913381     0.086075   286.591476   280.188936     4.615747     1.810869     0.019531
      1872.0    13.025020   353.113460   396.866035   633.751286     2.871268   113.879048    46.394875    67.484173    41.854971    42.676692     0.086311   286.642141   280.557805     4.629674     1.345498     0.016849
      1873.0    16.002553   356.645601   399.737409   635.031287     3.044551   117.783905    49.152754    68.631152    41.812773    43.348514     0.086075   286.253359   279.973941     4.639942     2.932866     0.255739
      1874.0    16.432070   360.207674   404.438894   636.621827     3.047295   123.125386    51.385326    71.740061    43.526586    44.931191     0.086075   286.531240   280.091287     4.649036     1.752650    -0.185935
      1875.0    12.071138   363.809636   406.197587   637.760717     3.223030   116.641704    47.039419    69.602285    43.926769    44.944236     0.086075   287.083905   281.063589     4.659275     0.336490    -0.121424
      1876.0    14.640371   367.451518   407.779244   638.606928     3.167218   116.623702    48.113482    68.510219    42.391593    43.727666     0.086311   286.554532   280.410531     4.672286     2.804160     0.489862
      1877.0    16.511648   371.123362   411.733815   640.065169     3.292871   121.002184    50.394148    70.608037    43.030535    44.803883     0.086075   286.491989   279.950934     4.686844     1.635694     0.315107
      1878.0    13.050463   374.835096   414.083113   641.108657     3.207378   117.915777    47.722246    70.193531    43.853325    44.329528     0.086075   287.082146   280.956577     4.705258     1.043421    -0.567284
      1879.0    16.143439   378.586719   416.706486   641.806039     3.231023   120.351088    49.766123    70.584964    42.878543    43.812337     0.086075   286.728642   280.529244     4.723214     3.330414     0.236411
      1880.0    16.287055   382.368304   420.891261   643.288215     3.238690   123.259224    51.110280    72.148944    44.119481    45.984643     0.086311   286.680455   280.259728     4.739338     0.940862     0.382986
      1881.0    15.185168   386.189778   423.899974   644.671558     3.497315   122.138909    49.981547    72.157362    44.376875    45.874813     0.086075   287.030603   281.028474     4.747207     1.098022     0.114595
      1882.0    15.425678   390.051203   426.147495   645.710825     3.567656   121.904985    50.135428    71.769557    44.404655    45.284132     0.086075   286.942700   280.990917     4.758570     2.603775    -0.159790
      1883.0    17.312763   393.952486   429.646261   646.944422     3.687177   123.514536    51.380793    72.133743    44.047686    45.820186     0.086075   286.778408   280.556471     4.772328     2.061842     0.538903
      1884.0    15.219462   397.893720   432.552644   648.807053     3.863523   121.795817    49.752852    72.042965    44.701090    46.231796     0.086311   286.882242   280.609029     4.785145     0.614673    -0.331924
      1885.0    16.236477   401.874842   434.802235   649.829401     3.709072   122.849550    50.633947    72.215603    44.578331    45.700275     0.086075   286.853582   280.761543     4.800789     2.684081     0.099595
      1886.0    18.932579   405.895885   438.684639   651.242893     3.891576   127.917202    53.666969    74.250233    45.081859    46.372447     0.086075   286.654372   280.440075     4.814837     3.412118    -0.122905
      1887.0    17.906847   409.946859   443.161308   653.154782     3.549962   128.477996    53.323161    75.154835    45.490466    48.121968     0.086075   286.577324   280.320676     4.829214     0.724524     0.719613
      1888.0    17.669400   414.047740   446.754615   655.177187     3.892753   128.695126    52.971496    75.723630    45.797800    47.845284     0.086311   286.834236   280.788916     4.844227     1.532905     0.025080
      1889.0    15.681839   418.188511   449.036108   656.514925     3.746185   125.685802    51.365845    74.319957    46.272480    46.651627     0.086075   287.169472   281.202888     4.862227     2.432725    -0.958591
      1890.0    18.343854   422.369201   452.718507   657.616635     3.525234   129.637890    54.123782    75.514108    46.092208    48.285260     0.086075   286.852305   280.614414     4.877017     2.156123     1.091342
      1891.0    19.148816   426.599768   457.322086   659.521657     3.896861   132.392639    55.286908    77.105731    46.906412    48.809457     0.086075   286.888423   280.656782     4.889523     1.873872    -0.001977
      1892.0    15.766537   430.860298   460.371687   661.247207     4.007313   128.596383    52.215657    76.380726    47.340893    48.664210     0.086311   287.179077   281.153165     4.901810     0.501847    -0.402233
      1893.0    16.634529   435.170704   462.234101   662.291330     4.055249   125.972565    51.757790    74.214776    46.237974    47.224455     0.086075   286.932996   280.812972     4.911059     2.670921    -0.057643
      1894.0    22.432368   439.520999   466.877757   663.824426     3.972538   135.703266    58.204805    77.498461    46.733832    49.378225     0.086075   286.600406   280.432283     4.919338     4.182924     1.111297
      1895.0    18.515617   443.921202   472.468384   666.432232     4.066055   134.359823    55.479050    78.880773    48.188133    50.204166     0.086075   286.850585   280.750908     4.931365    -0.315744    -0.591772
      1896.0    17.591440   448.361294   474.700345   667.865191     3.977070   132.535907    54.622732    77.913175    48.168943    49.221687     0.086311   287.001235   280.949919     4.941050     3.169084    -0.380214
      1897.0    20.306685   452.841335   479.199686   669.509635     3.971095   136.510350    57.201519    79.308832    48.068924    50.723139     0.086075   286.853798   280.784772     4.954738     1.979040     1.009770
      1898.0    18.895541   457.371254   483.537675   671.399187     3.897976   136.884808    57.027476    79.857332    49.319838    51.123557     0.086075   287.256390   281.209789     4.969355     1.565930    -0.085832
      1899.0    17.910502   461.941062   486.340845   672.782439     3.925828   134.071065    55.173912    78.897154    48.722032    49.611317     0.086075   287.253544   281.386583     4.979483     2.759423    -0.493967
      1900.0    19.533175   466.560776   490.617184   674.367534     4.259451   137.119017    57.125105    79.993911    49.320874    51.229072     0.086075   287.311867   281.175320     4.989027     1.619694     0.323103
      1901.0    18.851271   471.230368   494.421401   675.739232     4.129628   137.560883    56.919444    80.641439    49.796387    51.296691     0.086075   287.493137   281.654753     5.004491     1.818536     0.128606
      1902.0    19.522557   475.939879   497.892621   676.886639     4.275253   138.705284    57.532776    81.172508    50.013493    50.925503     0.086075   287.491253   281.568028     5.024561     3.136052    -0.235397
      1903.0    20.391169   480.699267   502.494582   678.475177     4.378552   139.823093    58.191542    81.631552    49.928047    52.169545     0.086075   287.384384   281.572770     5.038267     1.420036     0.652960
      1904.0    20.425031   485.508562   506.214809   680.323476     4.362549   141.232556    58.812385    82.420172    50.561850    52.454110     0.086311   287.541422   281.636885     5.059690     2.638048     0.043961
      1905.0    18.549193   490.357776   509.388266   682.237534     4.308830   137.690233    56.708377    80.981857    50.377173    51.582078     0.086075   287.487498   281.476737     5.072553     1.952842    -0.709154
      1906.0    19.849964   495.266825   512.895458   683.552697     4.271552   140.068569    58.193533    81.875035    50.586416    52.200807     0.086075   287.576036   281.627877     5.088080     2.485535     0.299227
      1907.0    19.405615   500.215793   516.428790   685.063405     4.240920   139.883612    57.824365    82.059247    50.814176    52.496600     0.086075   287.448174   281.645007     5.107727     1.794432     0.171716
      1908.0    20.794462   505.224655   520.944627   686.619690     4.374808   143.596279    59.431015    84.165264    51.302971    53.400735     0.086311   287.600476   281.608532     5.117576     1.514444     0.541479
      1909.0    17.621865   510.273407   523.472767   687.784323     4.491914   138.896412    56.488176    82.408236    51.721335    52.241413     0.086075   288.020130   282.069435     5.131971     1.718622    -0.644554
      1910.0    21.346085   515.372066   526.326625   688.437906     4.543866   143.456248    59.942869    83.513379    51.562630    52.470114     0.086075   287.863002   281.871757     5.143702     4.618896     0.253901
      1911.0    21.680807   520.530559   531.551636   690.016717     4.353038   145.535618    60.743552    84.792067    51.964851    53.701182     0.086075   287.935718   282.173764     5.151379     1.817359     0.157519
      1912.0    20.169700   525.738928   536.340691   691.441342     4.408473   145.725261    59.896994    85.828267    52.737254    54.730928     0.086311   288.040676   282.417723     5.163316     0.377011     0.569050
      1913.0    21.119817   530.987248   539.285954   693.072057     4.402019   144.960534    60.180660    84.779874    52.213197    53.534254     0.086075   287.906482   282.013978     5.175519     3.701143    -0.309658
