        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
       101.0     5.983485   286.756545   641.329108   933.082792     0.518540    79.490105    40.930796    38.559308    41.510096    41.346854          0.0   287.548187   281.881111          0.0    -0.595396          0.0
       102.0     7.489914   289.624119   641.775675   932.938267     0.772655    81.602164    42.313936    39.288228    41.701915    41.557390          0.0   287.586996   282.041972          0.0     0.309979          0.0
       103.0     8.277870   292.520340   642.489472   932.812461     1.037950    82.541907    42.852389    39.689518    41.778700    41.652894          0.0   287.508661   281.973227          0.0     0.485699          0.0
       104.0    10.028290   295.445567   644.472034   933.425035     1.207309    84.129998    44.254050    39.875947    41.661054    42.273628          0.0   287.421820   281.767448          0.0    -0.002140          0.0
       105.0     8.271836   298.400008   645.805179   934.010281     1.420746    83.081469    42.954406    40.127063    42.393499    42.978745          0.0   287.605155   281.973470          0.0    -1.357484          0.0
       106.0    11.328828   301.384011   647.327761   934.388668     1.357717    86.379100    45.718622    40.660478    42.100633    42.479020          0.0   287.513212   281.881149          0.0     1.717019          0.0
       107.0    12.852862   304.397844   651.285416   935.538149     1.503788    89.275647    47.577194    41.698452    42.644754    43.794236          0.0   287.531665   281.912125          0.0    -0.174696          0.0
       108.0    11.230237   307.441824   654.281301   936.743465     2.059743    88.382502    46.271234    42.111268    43.581557    44.786872          0.0   287.742925   282.057131          0.0    -1.511524          0.0
       109.0    10.614636   310.516254   655.437823   937.440678     2.153935    87.272188    45.364246    41.907942    43.449193    44.146406          0.0   287.833675   282.348463          0.0     0.061319          0.0
       110.0    10.745871   313.621412   656.794624   938.425211     2.305084    86.761907    45.204268    41.557639    43.374553    44.359085          0.0   287.697146   282.021605          0.0    -0.511618          0.0
       111.0    13.350978   316.757612   658.750677   939.524518     2.196401    90.069238    47.844514    42.224724    43.367096    44.466403          0.0   287.690175   282.048417          0.0     1.422058          0.0
       112.0    14.579687   319.925191   663.071377   941.166368     2.234861    93.304571    49.914907    43.389665    44.314049    45.955900          0.0   287.598918   282.075702          0.0    -0.361693          0.0
       113.0    13.511938   323.124462   666.739284   942.632337     2.718284    93.050001    49.136955    43.913046    45.154744    46.620713          0.0   287.865872   282.517793          0.0    -1.151664          0.0
       114.0    12.782632   326.355703   668.788807   943.758148     2.796657    91.812001    48.106898    43.705103    45.000431    46.126242          0.0   287.848751   282.389845          0.0    -0.068867          0.0
       115.0    12.427900   329.619253   670.512845   945.104809     2.791350    91.481360    47.816191    43.665169    45.127936    46.474597          0.0   287.857821   282.249068          0.0    -0.382444          0.0
