        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     6.342949   285.736250   347.997140  1638.458176     0.314992    96.159725    43.570757    52.588968    43.215794    46.298088          0.0   287.644624   281.371012          0.0    -2.911235     3.145382
      1851.0     7.223214   288.593493   348.396394  1639.080874     0.649697    97.218941    44.374340    52.844601    43.607637    46.817345          0.0   287.521432   281.075222          0.0    -2.842259     2.587010
      1852.0     8.267761   291.479541   349.010997  1640.389358     0.917075    96.370190    43.842688    52.527501    42.389231    47.071357          0.0   287.539081   280.978923          0.0    -3.843272     3.373642
      1853.0     8.134326   294.394260   349.277865  1641.592734     1.132869    97.777092    44.737671    53.039421    43.670562    47.109189          0.0   287.610513   281.128014          0.0    -2.638386     2.235252
      1854.0     8.520700   297.338377   350.348019  1642.530360     1.397601    98.593126    45.147530    53.445596    44.022406    47.435580          0.0   287.553217   281.125794          0.0    -3.358205     2.475548
      1855.0    10.963961   300.311626   352.135737  1643.693274     1.444251   102.066107    47.620601    54.445506    44.190062    48.399366          0.0   287.652305   281.190797          0.0    -2.566483     3.046390
      1856.0    10.947894   303.314732   353.846833  1645.131394     1.762922   101.714557    47.194123    54.520433    44.128341    48.386619          0.0   287.700359   281.216740          0.0    -2.903592     2.820157
      1857.0    10.231431   306.348002   355.884592  1646.207664     2.043336   103.919327    47.996899    55.922428    46.000836    49.262929          0.0   287.765572   281.381755          0.0    -3.303789     2.185823
      1858.0     9.579321   309.411475   357.455403  1646.670471     2.184804   103.534796    47.396807    56.137989    46.245948    49.645610          0.0   287.805135   281.596238          0.0    -3.819614     2.936854
      1859.0     9.097384   312.505383   358.271249  1646.799208     2.315929   102.711175    47.214579    55.496597    46.764347    49.201428          0.0   287.787343   281.373489          0.0    -2.802695     2.308344
      1860.0    10.348215   315.630517   359.801034  1646.499417     2.419431   105.308819    48.644979    56.663840    47.093472    50.135680          0.0   287.972550   281.851260          0.0    -3.020486     3.341999
      1861.0    12.479095   318.787029   361.274759  1647.506804     2.595541   104.960336    48.916561    56.043775    45.491154    49.996322          0.0   287.689359   281.269456          0.0    -2.553486     3.497780
      1862.0    12.772660   321.974553   363.327739  1649.380082     2.675740   106.384113    49.498184    56.885929    45.896709    50.670181          0.0   287.723748   281.493066          0.0    -3.224977     2.900194
      1863.0    12.895315   325.194501   365.207610  1651.356979     2.826769   106.857529    49.817910    57.039619    46.334086    51.232596          0.0   287.710758   281.289364          0.0    -3.294558     2.921614
