        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
         1.0     4.644644   285.425298   548.977794  1986.162731    -0.241369    96.948792    38.907337    58.041455    37.026503    37.563665          0.0   286.900085   281.818634     0.979389     1.068378     0.357121
         2.0     5.771719   287.983713   549.110698  1986.292013     0.267676    97.183788    38.925788    58.258000    36.848891    37.725274          0.0   287.021450   281.998392     1.101171     1.067610     0.747101
         3.0     7.133040   290.863649   549.101213  1986.370538     0.551953    97.532070    39.217772    58.314298    37.225070    37.430681          0.0   287.029823   281.965507     1.090055     1.796577     0.127085
         4.0     8.506588   293.772284   549.958139  1986.589437     0.826834    98.977387    39.980830    58.996557    36.768814    37.870822          0.0   286.926060   281.829104     1.004494     1.253082     0.883110
         5.0     8.562353   296.709837   550.963267  1986.987989     0.953775   100.071408    39.980828    60.090579    37.216808    37.969262          0.0   286.950369   281.706953     0.976423     1.006438     0.353902
         6.0     7.884336   299.676906   551.554213  1987.599513     1.025534    98.964232    39.205527    59.758705    36.908131    38.213787          0.0   287.085992   281.911673     0.965219     0.400794     0.694131
         7.0     8.668829   302.673863   551.708906  1988.033671     1.364910   100.016728    39.996888    60.019840    37.259129    37.985312          0.0   287.094647   281.909981     0.999553     1.856883     0.292026
         8.0     8.558843   305.700495   552.375426  1988.084964     1.617832   100.772527    40.265112    60.507415    37.885724    38.150290          0.0   287.333102   282.304399     1.097194     1.448302     0.213272
         9.0     9.211176   308.757491   553.170939  1988.116618     1.701606   101.015213    40.234218    60.780995    37.373673    38.242475          0.0   287.357663   282.301403     1.111465     1.196230     0.837148
        10.0     9.184606   311.845111   553.649931  1988.602814     1.925942   101.281909    40.143791    61.138118    37.518419    38.448984          0.0   287.397061   282.485982     1.034060     1.215816     0.444369
        11.0     9.930531   314.963646   554.188776  1988.676265     2.067554   101.943732    41.226906    60.716826    38.116535    38.582264          0.0   287.384944   282.421841     0.978360     2.105796     0.392278
        12.0    11.324869   318.113188   556.231635  1988.629255     2.214039   104.264234    41.914638    62.349596    37.957136    38.480529          0.0   287.232835   282.248701     0.982930     1.391250     0.570402
        13.0    11.166373   321.294245   558.320928  1988.844408     2.235593   104.460097    41.467845    62.992252    37.733029    38.443678          0.0   287.284491   282.269752     1.034650     0.934875     0.495496
