        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     0.637878   283.688113   364.080753   620.527866     0.303237    95.896893    39.096537    56.800355    37.383283    37.736099     0.087904   285.762883   279.367678     4.505964     2.010029     0.266033
      1851.0    -0.256425   283.817829   363.516871   620.571096     0.223349    95.247176    38.617195    56.629981    37.641403    37.457601     0.195755   285.944023   279.546292     5.149535     1.723476    -0.227031
      1852.0    -0.212359   283.967489   363.038697   620.570772     0.306795    94.489912    38.378864    56.111048    37.496173    37.453521     0.201824   285.928993   279.450945     5.639196     1.403517    -0.042329
      1853.0     0.020407   284.097205   362.412915   620.365269     0.320832    94.133418    38.318026    55.815392    37.161683    36.846465     0.206721   286.007691   279.582427     6.074002     2.097343    -0.109715
      1854.0     0.551796   284.216934   362.637854   620.102074     0.438222    95.759765    39.162087    56.597678    37.529367    37.563966     0.212655   286.103015   279.662443     6.452266     1.373183     0.297794
      1855.0     0.865723   284.306730   362.743399   620.008779     0.490053    96.671440    39.594786    57.076653    37.630645    37.654267     0.218410   286.013387   279.716260     6.783233     1.834973     0.116917
      1856.0     0.081167   284.416471   362.599394   620.189818     0.548488    95.495362    38.791052    56.704310    37.636334    37.585795     0.224131   286.135029   279.743787     7.059479     1.349262    -0.231578
      1857.0     0.225054   284.566162   362.146526   619.848360     0.332295    95.543948    39.034391    56.509557    37.628307    37.465829     0.227377   286.094374   279.718855     7.294482     2.021430     0.178980
      1858.0     1.688948   284.735767   362.844629   619.904889     0.403031    98.688844    40.728590    57.960254    37.937220    38.249043     0.230978   286.033290   279.742633     7.471447     1.781444     0.255293
      1859.0     0.136266   284.915360   363.064313   620.345808     0.388334    97.079538    39.463306    57.616231    38.170815    38.242970     0.234893   286.151899   279.759349     7.608608     1.000652    -0.368764
      1860.0     0.345729   285.104940   362.349322   620.287710     0.453633    95.864182    39.145932    56.718250    37.732256    37.806080     0.239896   285.980995   279.433597     7.741871     2.054844     0.131922
      1861.0    -0.038976   285.294520   361.972769   620.320709     0.312276    95.167951    38.706077    56.461874    37.597870    37.594063     0.202449   286.164050   279.775982     7.546594     1.488568    -0.036805
      1862.0     1.421345   285.464156   361.920025   620.524228     0.436989    95.719147    39.441103    56.278044    36.988442    37.364692     0.200354   285.768597   279.320913     7.384470     2.129155     0.172731
      1863.0     1.622039   285.633761   362.615842   620.737659     0.564250    98.018095    40.390601    57.627494    37.793756    38.054646     0.198204   285.898868   279.326687     7.234024     1.640138     0.047460
      1864.0     0.142383   285.803396   362.616409   621.067231     0.272667    96.384987    39.206196    57.178792    37.842754    38.181349     0.196961   285.991900   279.455002     7.109716     1.024280     0.009023
      1865.0    -0.047993   285.973002   362.042857   621.073757     0.350836    96.023602    39.076650    56.946952    37.989584    37.404121     0.194873   286.109226   279.639250     7.005541     2.246081    -0.591987
      1866.0    -0.495471   286.142637   361.775287   620.787594     0.518159    95.184145    38.533816    56.650328    38.067706    37.935936     0.193008   286.239563   279.970838     6.925471     0.865449     0.154392
      1867.0    -0.115626   286.312273   360.686052   620.268561     0.424067    93.278330    37.959950    55.318380    37.051280    36.528683     0.190689   286.093220   279.710092     6.868980     2.520502    -0.003564
      1868.0     1.195701   286.471890   361.252260   620.183997     0.298102    96.843589    39.905249    56.938340    37.459022    37.707544     0.189322   285.947524   279.626749     6.832730     1.631497     0.333086
      1869.0     0.997196   286.591649   361.540560   620.420745     0.368838    97.205449    40.004891    57.200557    37.744432    37.879490     0.187065   285.897458   279.367175     6.817376     1.837100    -0.101689
      1870.0     0.032211   286.721335   361.526808   620.583176     0.366828    95.742416    38.860601    56.881815    37.611173    37.820178     0.185354   286.023983   279.543985     6.785831     1.054176     0.046574
      1871.0    -0.435294   286.851051   360.433576   620.555810     0.367370    94.316351    38.342430    55.973922    37.430156    37.182085     0.259890   286.109419   279.673831     7.364721     2.253576    -0.220705
      1872.0     0.511862   287.020686   360.692567   620.280711     0.292314    97.073907    39.714608    57.359299    37.806697    37.843932     0.264370   286.214789   279.897180     7.884590     1.611685     0.312334
      1873.0     0.301187   287.220223   360.534306   620.300125     0.432273    95.891130    39.102688    56.788442    37.613393    37.701926     0.266893   286.219322   279.945213     8.357700     1.559022     0.069120
      1874.0     0.740294   287.419791   359.763649   620.235365     0.552968    96.067270    39.470876    56.596394    37.595463    37.083618     0.270297   286.128850   279.675301     8.777380     3.157915    -0.447085
      1875.0     2.299584   287.649291   360.752511   620.314915     0.523371    99.832251    41.464573    58.367677    37.989859    38.491049     0.272573   286.036120   279.532854     9.158412     1.984663     0.421640
