        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0    -0.409017   283.923842   538.622347  1487.691279     0.088897   109.348699    58.089204    51.259499    57.151478    56.630094          0.0   288.112287   283.765935    43.064129     1.794154     1.060516
      1851.0    -2.303010   284.055342   537.662365  1486.436866    -0.044323   108.535338    57.198092    51.337233    57.909701    56.384223          0.0   288.272794   284.030453    48.878685     1.773865    -0.271064
      1852.0    -1.276826   284.196702   536.077449  1485.509939     0.033959   108.056329    57.274602    50.781715    56.992111    56.414542          0.0   288.190852   283.953257    52.951172     2.444989     0.349357
      1853.0    -0.174604   284.328199   535.090342  1485.034290     0.115513   107.824734    57.408071    50.416712    56.049031    55.987770          0.0   288.012591   283.684435    55.935097     2.407358     0.414389
      1854.0     0.195150   284.443257   534.546390  1485.176242     0.189922   108.131489    57.611684    50.519801    55.894746    55.873894          0.0   288.027219   283.682724    58.147305     2.281746    -0.162804
      1855.0    -1.039772   284.545169   534.017469  1484.747194     0.220112   108.123261    57.372737    50.750517    56.875645    56.071769          0.0   288.262262   284.007669    59.824810     1.829897    -0.374829
      1856.0    -0.488296   284.660230   533.441168  1483.962236     0.292048   108.538575    57.659162    50.879395    56.694552    55.986763          0.0   288.238845   284.034212    61.111259     2.248719     0.077169
      1857.0    -0.859129   284.804879   533.014041  1483.145556     0.233650   108.367997    57.454675    50.913343    56.856431    55.907667          0.0   288.294418   284.098109    62.242012     1.974115    -0.132085
      1858.0    -1.397349   284.969246   531.928202  1482.229440     0.256060   106.838714    56.579497    50.259188    56.574070    55.719467          0.0   288.215444   283.987733    63.206844     1.945896     0.061513
      1859.0    -0.182779   285.146776   531.179014  1481.581729     0.406934   107.408408    57.160445    50.247953    56.115060    55.608710          0.0   288.190785   283.860354    64.004364     2.300934     0.141360
      1860.0    -0.085104   285.337447   531.015868  1480.897770     0.256197   109.167508    57.966575    51.200949    56.768509    55.921560          0.0   288.299352   283.973239    63.775501     2.208146    -0.162990
      1861.0    -0.942812   285.524831   530.842989  1479.895064     0.289461   107.235529    56.854197    50.381331    56.560432    55.460336          0.0   288.238409   284.061198    63.847622     1.566741    -0.097391
      1862.0     0.705174   285.699073   530.763130  1479.132576     0.440807   108.379010    57.858897    50.520086    56.046913    55.486122          0.0   288.189089   284.010533    64.004379     2.452662     0.201697
      1863.0    -0.071745   285.870008   530.813282  1478.525191     0.363799   107.404131    57.121771    50.282345    56.003207    55.523230          0.0   288.174427   283.885449    64.268883     1.548405     0.127408
      1864.0     0.048917   286.040957   530.430353  1478.167587     0.361110   107.992666    57.360787    50.631916    56.115930    55.692402          0.0   288.278021   283.951765    64.539154     2.051277    -0.065924
      1865.0    -1.421025   286.211908   530.335265  1476.827012     0.286461   108.658491    57.408972    51.249511    57.560408    55.539962          0.0   288.486535   284.454779    64.913101     1.964106    -0.679871
      1866.0    -0.579208   286.382858   530.394795  1475.066037     0.223791   108.874976    57.864374    51.010563    57.108247    55.677054          0.0   288.285753   284.142667    65.307823     2.127830     0.329782
      1867.0     0.929212   286.547227   530.511336  1474.462777     0.179645   108.186261    57.952534    50.233751    55.629306    55.751727          0.0   288.017900   283.771411    65.691750     2.084243     0.725681
      1868.0     1.456930   286.695163   531.300391  1474.569905     0.277261   109.607250    58.700925    50.906323    55.908386    55.881302          0.0   288.155888   283.745956    66.024521     2.030571    -0.134212
      1869.0     0.856729   286.826658   532.081839  1474.340524     0.264617   109.500028    58.500527    50.999502    56.263028    55.987026          0.0   288.237152   284.028105    66.411880     1.732052    -0.046621
      1870.0     0.047460   286.954871   531.632685  1474.325543     0.245620   107.708542    57.345892    50.362655    55.719906    55.870773          0.0   288.214053   283.894399    68.815544     1.924267     0.165848
      1871.0    -0.267723   287.096232   531.223326  1474.011394     0.272672   109.307436    58.141877    51.165550    56.840299    55.963359          0.0   288.378231   284.060020    70.498199     2.587886    -0.562792
      1872.0    -1.289996   287.263893   530.798101  1472.701544     0.340947   108.911088    57.569048    51.342019    57.378737    55.890549          0.0   288.529243   284.379871    71.890869     2.103745    -0.178337
      1873.0    -0.336354   287.454564   529.948640  1471.858968     0.327047   107.268259    57.110720    50.157528    55.980021    55.664267          0.0   288.237400   284.097386    73.173439     2.295925     0.526821
      1874.0     0.872683   287.661673   529.592946  1471.933546     0.332304   108.112092    57.805106    50.306989    55.483506    55.818424          0.0   288.186903   283.850098    74.278320     2.342373     0.260340
      1875.0     0.712653   287.885222   529.684996  1471.788790     0.488063   109.705675    58.408119    51.297555    56.414940    55.744181          0.0   288.450124   284.200721    75.329315     2.571888    -0.526003
      1876.0    -1.892214   288.115342   529.053552  1470.577820     0.467660   108.031271    56.938354    51.092960    57.517441    55.842845          0.0   288.598935   284.451411    76.287956     1.726911    -0.463625
      1877.0    -0.915514   288.348752   528.016150  1469.141578     0.369150   107.645660    57.038097    50.607550    56.535948    55.463712          0.0   288.381755   284.244605    77.218658     2.611799     0.364006
      1878.0     1.072985   288.585447   527.591336  1468.697605     0.375775   108.732988    58.101047    50.631954    55.603647    55.734766          0.0   288.193441   283.904814    78.129669     2.791083     0.575091
      1879.0     1.557573   288.822145   527.732159  1468.927452     0.400865   109.125091    58.406550    50.718542    55.436286    55.754182          0.0   288.183147   283.914434    78.947334     2.511543     0.088049
      1880.0     0.058155   289.068709   527.588589  1468.997359     0.300282   108.176109    57.594926    50.581174    56.058140    55.840062          0.0   288.175941   283.851161    79.302696     1.898444    -0.287984
      1881.0     1.816580   289.334985   527.901812  1468.772534     0.361114   110.326004    59.075920    51.250082    55.870657    55.830321          0.0   288.213036   283.956071    79.975418     2.932378     0.184489
      1882.0     0.881333   289.604559   528.438346  1468.631194     0.479100   109.791767    58.456737    51.335028    56.293999    55.959676          0.0   288.353379   284.247590    80.677094     1.960530    -0.192984
      1883.0     0.883145   289.857691   528.218717  1468.317745     0.372908   109.224735    58.164880    51.059869    55.839019    55.836404          0.0   288.231039   284.033041    81.439835     2.548090     0.310835
      1884.0     2.759085   290.114114   528.223711  1469.428610     0.623990   108.613467    58.304678    50.308801    54.343538    56.097768          0.0   287.883874   283.486649    82.132690     2.201905     0.643364
      1885.0     1.861556   290.393543   527.826993  1470.742106     0.610817   108.062117    57.902656    50.159466    54.868964    55.775110          0.0   287.836012   283.456869    82.815536     2.524259    -0.407349
      1886.0     2.069438   290.692702   527.578107  1471.624363     0.595428   108.429125    58.045554    50.383552    54.815539    55.753251          0.0   287.952751   283.507975    83.505920     2.541209     0.055454
      1887.0     1.648508   291.011588   527.773327  1472.060536     0.606495   109.714480    58.549948    51.164538    55.778841    55.721104          0.0   288.145306   283.924047    84.212181     2.633619    -0.493911
      1888.0     0.068507   291.353484   527.411495  1471.811726     0.550685   108.892006    57.777605    51.114399    56.562327    56.175235          0.0   288.205121   283.946031    84.854713     1.964202    -0.138282
      1889.0     1.629485   291.701947   526.993363  1471.822897     0.416471   108.918863    58.333815    50.585066    55.427469    55.756571          0.0   288.007146   283.799344    85.554276     2.995358     0.317932
      1890.0     1.770348   292.050421   527.002790  1472.288207     0.498600   108.333968    58.024486    50.309489    54.976289    55.589792          0.0   287.896585   283.422942    87.065880     2.425259     0.148192
      1891.0     1.508067   292.405467   526.501011  1472.946833     0.471373   108.013101    57.704750    50.308347    54.867737    55.595493          0.0   287.923798   283.412688    88.365891     2.611040     0.069131
      1892.0     1.207399   292.747360   526.203383  1473.240445     0.597132   109.955595    58.541715    51.413896    56.080787    55.901070          0.0   288.164851   283.814791    89.380333     2.938256    -0.473330
      1893.0    -0.345934   293.066241   525.849184  1472.563401     0.494044   108.228109    57.459404    50.768721    56.388793    55.612265          0.0   288.203544   283.935069    90.318802     2.201322    -0.099484
      1894.0     0.925217   293.371974   525.264140  1472.317326     0.374433   108.016721    57.799489    50.217260    55.288941    55.525879          0.0   287.949221   283.636728    91.229378     2.858627     0.483013
      1895.0     1.621017   293.664554   525.085309  1472.929081     0.334455   108.642351    58.318171    50.324172    55.016564    55.642326          0.0   287.954344   283.611806    92.191147     2.854684     0.014008
      1896.0     1.211828   293.947282   524.765935  1473.459213     0.522460   108.491401    58.012256    50.479146    55.265630    55.668742          0.0   288.024116   283.631360    93.028709     2.662887    -0.127021
      1897.0     0.156389   294.236575   524.031790  1473.584216     0.489343   108.151579    57.482510    50.669050    55.766777    55.486817          0.0   288.259572   284.045173    93.820282     2.729858    -0.404963
      1898.0     0.185662   294.548881   524.138018  1472.627522     0.448582   110.230745    58.677375    51.553375    56.923950    55.671930          0.0   288.345758   284.130069    94.566429     2.899212    -0.295325
      1899.0     0.474759   294.894069   524.064374  1471.718888     0.384778   109.053697    58.245390    50.808296    56.188737    55.635812          0.0   288.206016   283.957951    95.373055     2.683233     0.355708
      1900.0     0.970753   295.249112   523.658291  1471.665705     0.512710   108.190198    57.862836    50.327317    55.410116    55.505800          0.0   288.135555   283.748247    96.553864     2.763165     0.148867
      1901.0     0.923617   295.587719   523.348388  1471.504739     0.790494   109.043928    58.115502    50.928458    55.922613    55.561451          0.0   288.302362   283.986057    97.658356     2.863921    -0.200196
      1902.0    -1.575731   295.913173   522.607379  1470.112180     0.618843   108.023826    57.031418    50.992423    57.120699    55.180655          0.0   288.454435   284.371423    98.591125     2.591757    -0.547484
      1903.0     2.218952   296.232056   522.196189  1469.461198     0.814402   108.614253    58.320601    50.293657    54.778377    55.278411          0.0   287.980417   283.566719    99.478004     3.453374     1.151018
      1904.0     1.779675   296.547651   522.180355  1470.137707     0.719771   108.506755    58.122670    50.384068    54.887008    55.431368          0.0   288.049717   283.599125   100.359795     2.707152    -0.132149
      1905.0     1.074702   296.882972   521.646101  1470.562746     0.603086   108.264080    57.850050    50.414023    55.229761    55.477666          0.0   288.110779   283.767066   101.289948     2.906645    -0.177134
      1906.0     0.921874   297.261030   521.249903  1470.508789     0.565357   108.575667    58.022814    50.552808    55.588797    55.316564          0.0   288.149775   283.860882   102.167740     3.102492    -0.218277
      1907.0     0.689239   297.675259   521.106321  1470.210401     0.650224   109.049166    58.054624    50.994528    55.992655    55.552608          0.0   288.274355   284.030352   103.065094     2.645612    -0.141659
      1908.0    -0.009488   298.099333   520.419153  1469.419236     0.547544   108.842050    58.021372    50.820679    56.554355    55.506241          0.0   288.239290   283.915766   103.841057     3.202298    -0.256948
      1909.0     1.017204   298.523409   519.824268  1468.873862     0.566518   108.055552    57.846847    50.208711    55.357898    55.429164          0.0   288.117926   283.832332   104.713219     3.012561     0.616641
      1910.0     1.494662   298.960645   519.645677  1468.935933     0.598107   108.681446    58.232361    50.449076    55.359707    55.229698          0.0   288.175283   283.849301   104.917007     3.181264    -0.192080
      1911.0     0.270042   299.427462   519.489940  1468.358840     0.777399   109.013054    57.982781    51.030264    56.563291    55.361801          0.0   288.424866   284.132061   105.432617     2.776725    -0.624397
      1912.0    -0.854014   299.940303   518.746027  1466.837232     0.724322   108.023908    57.136422    50.887484    56.870209    55.537279          0.0   288.457622   284.300104   105.915855     2.343058     0.188678
      1913.0     1.362675   300.476156   517.334763  1466.277026     0.758299   106.857983    57.161729    49.696262    54.757315    54.912244          0.0   288.019598   283.701234   106.495903     3.660741     0.715135
      1914.0     2.897106   300.998870   517.593219  1466.575145     0.972153   108.846984    58.583158    50.263819    54.830218    55.050573          0.0   288.056548   283.688608   106.945992     3.274136    -0.077764
      1915.0     2.866207   301.521569   518.561221  1466.386608     0.766884   111.173135    59.624828    51.548311    55.677292    55.224344          0.0   288.329204   284.110460   107.548622     3.432478    -0.264411
      1916.0    -0.287181   302.054130   519.142989  1465.355805     0.844999   109.625033    58.026125    51.598905    57.304876    55.494967          0.0   288.529200   284.446204   108.210449     1.949394    -0.779106
      1917.0    -0.819391   302.563687   518.103886  1463.386444     0.818150   107.660151    57.043862    50.616296    56.772611    55.034345          0.0   288.449682   284.367100   108.879417     3.048613     0.231095
      1918.0     1.502135   303.007490   517.231239  1462.625569     0.750997   107.831986    57.849198    49.982793    55.040451    55.030633          0.0   288.077235   283.673676   109.484406     3.691206     0.751057
      1919.0     2.542419   303.405274   517.439903  1462.960333     0.838906   108.815957    58.446643    50.369292    54.575194    55.069194          0.0   288.115345   283.715674   110.081253     3.168807     0.159237
      1920.0     2.221556   303.799766   517.741132  1463.201226     0.906632   109.956608    58.857143    51.099471    55.253935    55.408850          0.0   288.292366   283.965008   111.792076     3.147057    -0.085978
      1921.0     0.876691   304.171249   518.000489  1462.878060     0.910707   109.921584    58.556603    51.365007    56.227077    55.288228          0.0   288.462122   284.283736   113.107056     3.008992    -0.615682
      1922.0    -0.581345   304.513139   517.237746  1461.682428     0.817403   107.836673    57.220796    50.615878    56.169270    54.970069          0.0   288.343409   284.230208   114.245071     3.013469    -0.003569
      1923.0     1.693671   304.851737   516.924924  1461.226878     0.841672   108.707319    58.348340    50.358979    55.025431    55.073996          0.0   288.096895   283.811941   115.154686     3.587166     0.504116
      1924.0     1.665612   305.157479   516.483708  1461.458462     0.891608   108.379312    58.126778    50.252557    54.795543    55.201633          0.0   288.090226   283.654150   115.907211     3.366337     0.174505
      1925.0     1.592553   305.374451   516.699035  1461.650552     0.676854   109.405352    58.634080    50.771281    54.969250    55.129487          0.0   288.145292   283.831349   116.613564     3.289256    -0.031852
      1926.0     1.171306   305.545396   516.869723  1461.595218     0.739614   110.178638    59.018267    51.160369    55.718624    55.340843          0.0   288.234878   283.970620   117.384476     3.506738    -0.322447
      1927.0     1.064132   305.729494   517.671722  1460.843728     0.713987   111.286728    59.587618    51.699091    56.374620    55.311154          0.0   288.390857   284.121964   118.217499     3.474484    -0.311977
      1928.0    -0.996024   305.903728   517.417328  1460.017996     0.578371   108.317522    57.459644    50.857888    56.123689    55.426924          0.0   288.433800   284.252220   118.979134     2.287105     0.128967
      1929.0     0.491744   306.054951   516.991069  1459.208391     0.551842   110.211163    58.946091    51.265090    56.031824    55.304378          0.0   288.353580   284.202761   119.818069     4.067953     0.082159
      1930.0     0.579344   306.209465   516.773608  1458.832541     0.586930   108.822914    58.327252    50.495689    55.275294    55.308291          0.0   288.194752   283.874122   121.518066     3.236396     0.408847
      1931.0     1.054987   306.409997   516.289883  1458.945416     0.745062   109.056204    58.404497    50.651712    55.087682    55.222162          0.0   288.288696   283.917735   122.979614     3.666055     0.021604
      1932.0     0.739177   306.672993   516.362954  1458.673276     0.638586   110.571835    59.203933    51.367918    56.184632    55.410325          0.0   288.400974   284.154297   124.295456     3.720522    -0.502167
      1933.0     0.772918   306.988587   516.235546  1458.020686     0.657453   109.630278    58.737982    50.892316    55.795787    55.202523          0.0   288.371661   284.208394   125.567833     3.662847     0.059326
      1934.0     1.138234   307.366651   516.141014  1457.608191     0.797224   109.607597    58.741191    50.866424    55.686407    55.433767          0.0   288.389252   284.186085   126.642860     3.401938     0.159855
      1935.0     0.902400   307.879495   516.059722  1456.995024     0.768440   110.189351    58.812985    51.376369    56.227734    55.327710          0.0   288.468904   284.279443   127.665573     3.566564    -0.286857
      1936.0     2.530443   308.569865   515.870801  1456.462980     0.821137   110.354400    59.279486    51.074933    55.462853    55.532208          0.0   288.258282   284.058716   128.658234     3.936180     0.601399
      1937.0     3.527370   309.273368   516.258061  1456.772102     0.788027   110.824467    59.811503    51.012952    54.977381    55.493045          0.0   288.190350   283.945125   129.663025     3.931210     0.206542
      1938.0     1.786657   309.865112   516.633073  1457.151077     0.847553   109.839113    58.882293    50.956826    55.588218    55.318191          0.0   288.403971   284.189040   130.660675     3.189085    -0.649002
      1939.0     1.412917   310.400965   516.483736  1456.618346     0.780703   110.521895    59.100363    51.421551    55.980274    55.471095          0.0   288.482938   284.205461   131.505737     3.778585     0.023553
      1940.0     0.020706   310.903944   515.753956  1455.810183     0.841148   110.157877    58.487762    51.670123    56.623216    55.540693          0.0   288.620260   284.537423   133.535049     3.676842    -0.274361
      1941.0    -0.062683   311.347749   514.791179  1454.801938     0.839421   109.039583    58.052073    50.987486    56.089312    55.250877          0.0   288.485820   284.280099   135.401489     3.763997     0.169809
      1942.0     0.956063   311.696215   513.553594  1454.524021     0.747167   108.409590    58.199308    50.210277    54.891141    55.122705          0.0   288.284468   284.118314   136.920685     4.314193     0.509481
      1943.0     2.144796   311.903322   513.280488  1454.969237     0.911838   109.774554    59.229159    50.545387    54.571428    55.289112          0.0   288.154844   283.839840   138.230896     4.213163     0.272469
      1944.0     1.579410   311.962494   513.539048  1455.323696     1.000069   112.043020    60.157208    51.885782    55.803443    55.462220          0.0   288.512107   284.361620   139.393219     4.436457    -0.695682
      1945.0    -2.804784   311.952632   513.186203  1453.977484     0.868494   108.544444    57.409175    51.135285    57.138108    55.209530          0.0   288.596465   284.553915   140.625336     2.552475    -0.582366
      1946.0     0.324594   311.972358   511.811896  1452.951671     0.814595   109.569429    58.833724    50.735707    55.417115    55.205450          0.0   288.343423   284.217349   141.771942     5.002577     0.814149
      1947.0     1.516677   312.031532   511.937691  1452.894141     0.681159   110.619203    59.716486    50.902740    55.038595    55.270407          0.0   288.209512   283.985920   142.821533     4.320262     0.289342
      1948.0     1.959357   312.100568   512.256423  1453.381984     0.777171   110.879620    59.855871    51.023747    54.820756    55.403188          0.0   288.281424   284.000602   143.809891     4.133953     0.094590
      1949.0     0.900196   312.212345   512.655049  1453.579263     0.729901   111.299552    59.715400    51.584178    55.764755    55.453040          0.0   288.438749   284.184730   144.921692     3.863709    -0.508995
      1950.0    -1.233850   312.383292   511.933273  1452.554105     0.686922   110.051925    58.633666    51.418276    56.652675    55.266175          0.0   288.561631   284.427958   148.672043     4.089249    -0.361343
      1951.0     1.305092   312.606840   510.933191  1452.206782     0.495236   110.180727    59.394477    50.786262    54.695480    55.384020          0.0   288.243672   283.908078   151.643585     5.010527     1.035863
      1952.0     1.202142   312.915862   510.461926  1452.880192     0.537853   110.423485    59.423386    51.000089    54.994021    55.369605          0.0   288.239961   283.747778   153.935089     4.525056    -0.297826
      1953.0    -0.285676   313.284056   509.356028  1452.814018     0.573552   109.285461    58.446827    50.838599    55.619022    55.233522          0.0   288.457323   284.281686   156.195389     4.319238    -0.319325
      1954.0     0.243608   313.642386   507.732589  1452.774832     0.578473   108.659611    58.373919    50.285651    54.950086    55.148496          0.0   288.292208   284.007952   158.242630     4.848903     0.237596
      1955.0     1.270367   313.964559   507.186557  1452.980373     0.542881   110.224866    59.414978    50.809907    54.811600    55.039334          0.0   288.295068   284.030697   160.059219     4.921657     0.022193
      1956.0     0.782081   314.260428   507.202402  1452.620216     0.604310   112.373404    60.381310    51.992121    56.209456    55.230192          0.0   288.542059   284.453907   161.855942     5.135246    -0.619107
      1957.0    -1.187222   314.566161   506.084392  1451.581246     0.748754   108.392823    57.788192    50.604655    55.717588    55.115198          0.0   288.474172   284.271352   163.656250     3.790980     0.436579
