        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     3.184370   285.736250   461.332153  1214.739819     0.254447   167.552067    50.060263   117.491804    50.367275    51.988070          0.0   287.122291   282.228538          0.0     0.719012     4.169285
      1851.0     3.808056   288.593493   459.577937  1213.080983     0.465271   166.404972    50.780800   115.624172    50.974959    51.019431          0.0   287.191194   282.332517          0.0     1.515586     1.703307
      1852.0     9.646948   291.479541   458.716322  1212.311804     0.782966   171.128329    54.182383   116.945946    49.168165    51.788203          0.0   286.956435   282.067027          0.0     3.255793     3.389218
      1853.0    10.508713   294.394260   460.729582  1212.679384     1.267838   171.539001    54.656502   116.882500    48.936312    52.144308          0.0   286.955022   281.953587          0.0     0.498934     2.840416
      1854.0    10.438706   297.338377   463.467565  1212.877055     1.307616   176.284592    55.674077   120.610515    50.208186    52.084277          0.0   287.185017   282.307617          0.0     0.851817     1.678420
      1855.0     8.670574   300.311626   466.353598  1213.108597     1.706037   175.522406    53.442648   122.079759    50.651635    53.358108          0.0   287.367558   282.664003          0.0    -2.801493     2.474931
      1856.0    11.418189   303.314732   464.264877  1214.223140     1.751739   177.555603    56.864583   120.691020    51.261674    55.134659          0.0   287.257579   282.446704          0.0     3.818645     2.758442
      1857.0    11.473081   306.348002   467.476270  1215.636640     2.032274   177.004443    55.905765   121.098678    50.759641    53.805809          0.0   287.255989   282.391901          0.0    -1.111436     1.632668
      1858.0    10.814831   309.411475   470.247869  1215.692039     2.143434   176.912986    55.479285   121.433702    50.689336    53.081105          0.0   287.264574   282.444178          0.0    -0.373419     2.336369
      1859.0    13.827554   312.505383   472.218926  1216.160065     2.255641   180.704774    57.900043   122.804731    50.520118    53.288704          0.0   287.217315   282.363817          0.0     2.640283     2.300560
      1860.0    12.742277   315.630517   476.070184  1216.783009     2.210513   184.755717    57.505494   127.250223    51.141398    54.291717          0.0   287.238001   282.332768          0.0    -0.637481     2.527375
      1861.0    12.849074   318.787029   479.141975  1217.714662     2.406888   179.958146    57.127882   122.830264    50.776285    54.355629          0.0   287.227919   282.296992          0.0    -0.299537     2.647691
      1862.0    12.978978   321.974553   482.149146  1218.532346     2.499712   182.747040    57.855149   124.891891    51.625498    54.243132          0.0   287.304568   282.346918          0.0     0.604846     1.799951
      1863.0    12.868691   325.194501   484.946973  1218.721972     2.705700   182.921472    58.323058   124.598414    52.504621    55.027612          0.0   287.471745   282.722000          0.0     0.497619     2.333365
      1864.0    14.714454   328.446405   488.060091  1219.219806     2.830102   187.083681    59.689849   127.393832    52.408440    55.465613          0.0   287.305907   282.394073          0.0     1.111118     2.559339
