        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     1.715358   284.613907   506.343104  1708.092275    -0.009303    85.730107    39.713076    46.017031    37.469575    36.927252          0.0   286.793361   281.432397          0.0     2.244832          0.0
      1851.0     3.977179   285.830141   507.773058  1707.581546     0.211563    87.964727    40.545515    47.419212    36.791659    36.280930          0.0   286.697529   281.176396          0.0     2.834632          0.0
      1852.0     6.368081   287.442518   510.091974  1707.102412     0.374118    93.354790    43.183459    50.171331    37.948601    37.469466          0.0   286.747454   281.360452          0.0     3.395077          0.0
      1853.0     5.112066   289.350115   511.208621  1707.737748     0.453725    92.024483    41.276253    50.748229    37.639598    38.274934          0.0   286.813229   281.484215          0.0     1.884672          0.0
      1854.0     7.241695   291.935892   510.578978  1708.228830     1.172494    88.813694    40.574477    48.239217    37.074264    37.565346          0.0   286.944804   281.805449          0.0     3.638775          0.0
      1855.0     8.330920   294.235690   512.481159  1708.399593     1.352392    92.454731    42.782882    49.671849    37.612079    37.782842          0.0   286.788558   281.328929          0.0     3.097859          0.0
      1856.0     6.705549   296.785325   512.591414  1708.553980     1.647514    89.915039    40.606133    49.308906    38.131065    38.285452          0.0   287.111368   281.950007          0.0     2.210426          0.0
      1857.0    11.241798   299.714384   513.453020  1708.654999     1.867066    92.068600    43.414757    48.653843    37.633031    37.734050          0.0   286.892058   281.492137          0.0     4.819101          0.0
      1858.0     8.355897   302.672092   514.240203  1709.475796     1.941040    89.689986    40.583967    49.106019    37.910438    38.731234          0.0   287.079414   281.821351          0.0     1.065550          0.0
      1859.0     9.529832   305.921052   515.062563  1708.863698     1.851115    92.494176    42.724553    49.769623    38.808712    38.196615          0.0   287.256588   282.182434          0.0     3.705578          0.0
      1860.0    10.439116   308.679231   517.181583  1708.470314     1.896428    94.302488    43.517386    50.785101    37.971132    37.577747          0.0   286.965999   281.872560          0.0     3.820619          0.0
      1861.0    11.173876   311.781461   518.315145  1709.287418     1.838726    95.578654    44.251195    51.327459    38.560450    39.377553          0.0   287.038197   281.852727          0.0     3.740079          0.0
      1862.0     9.552491   314.805564   520.714538  1709.949428     2.027164    95.251887    42.334653    52.917234    38.036646    38.698656          0.0   287.101306   281.886802          0.0     1.236604          0.0
      1863.0    10.887332   318.019474   520.500998  1710.361849     2.125416    92.798413    42.842662    49.955750    38.376111    38.788532          0.0   287.227945   282.178214          0.0     4.267670          0.0
      1864.0    11.493578   321.088126   522.005053  1711.019400     2.330545    93.725470    43.398726    50.326743    38.024097    38.681648          0.0   287.191254   282.183759          0.0     3.213023          0.0
      1865.0    11.404114   323.973367   524.670659  1711.469520     2.557985    96.966983    44.384418    52.582565    38.686017    39.136137          0.0   287.286271   282.010756          0.0     2.582676          0.0
