        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     3.849078   284.153270   389.638509  2910.713262     0.155837    87.620931    36.557737    51.063193    34.639973    37.154612          0.0   287.025277   281.336904          0.0     5.220450     1.071023
      1851.0     5.610748   286.640059   388.583781  2910.462643     0.504497    88.620707    38.028555    50.592152    35.660878    34.419685          0.0   287.121385   281.414948          0.0     4.663598    -0.990574
      1852.0     9.332398   289.506468   392.291651  2908.517789     0.727859    91.637492    39.692618    51.944874    34.461956    34.453679          0.0   286.825372   281.094068          0.0     1.531069     1.936577
      1853.0     8.673117   292.401529   395.141747  2908.086298     0.812011    92.865319    38.349919    54.515399    34.520455    35.971336          0.0   286.855684   281.074708          0.0    -0.471513     1.882373
      1854.0     6.819112   295.325517   394.144823  2909.946433     0.825446    91.231344    37.251983    53.979361    35.142625    37.245725          0.0   286.882596   280.982646          0.0     1.003182     0.242965
      1855.0     6.857715   298.278783   393.120012  2910.453196     1.321810    90.119107    37.371273    52.747834    35.328645    36.676078          0.0   286.961605   281.169819          0.0     1.720005     0.840671
      1856.0     9.407771   301.261569   393.649808  2909.766117     1.677241    90.392226    38.489025    51.903202    35.181396    34.524823          0.0   287.275671   281.696761          0.0     3.434406     0.030506
      1857.0    10.287288   304.274167   396.378337  2908.344763     1.954379    92.053823    39.361185    52.692638    35.155594    35.830993          0.0   287.240895   281.597116          0.0     0.801663     2.096753
      1858.0     9.626039   307.316899   398.702085  2908.094116     1.945156    93.173072    39.167347    54.005726    34.847993    35.763714          0.0   287.019411   281.393734          0.0     1.079885     1.166368
      1859.0     8.939837   310.390105   400.116957  2907.985473     1.964219    94.758099    39.035307    55.722792    35.418871    37.848878          0.0   287.114325   281.717327          0.0    -0.228443     2.538650
      1860.0     9.020336   313.493989   398.726550  2909.193237     2.044669    92.170892    38.349955    53.820937    35.875869    35.964782          0.0   287.040276   281.442675          0.0     3.775580    -1.118851
      1861.0    10.558711   316.628940   400.679111  2908.485453     2.165553    93.438519    39.523602    53.914917    35.275782    36.739824          0.0   287.130563   281.411257          0.0     0.831217     2.171826
      1862.0     9.832432   319.795227   401.299125  2909.082717     2.367428    92.725574    39.101692    53.623882    35.504716    37.521528          0.0   287.214632   281.603831          0.0     0.960150     1.419548
      1863.0    10.608462   322.993211   401.877613  2909.125272     2.427519    92.861737    39.552750    53.308987    35.518411    36.408395          0.0   287.284356   281.778430          0.0     2.565868     0.847429
      1864.0    10.325186   326.223109   403.807300  2908.408256     2.441572    94.654456    40.385678    54.268778    35.734185    36.242606          0.0   287.217912   281.762259          0.0     2.213385     1.225436
      1865.0    11.656527   329.485361   405.879572  2907.967427     2.499667    95.495114    40.381458    55.113656    35.822595    36.253900          0.0   287.116997   281.581539          0.0     2.055286     0.872134
      1866.0    11.910318   332.780222   408.918753  2907.316528     2.498605    97.049611    40.634380    56.415231    35.933625    35.985394          0.0   287.155496   281.512505          0.0     1.609807     0.702668
      1867.0    10.954630   336.107996   409.941360  2908.256537     2.582174    94.949277    39.146555    55.802722    35.620391    38.655385          0.0   287.259292   281.676657          0.0    -0.531437     2.094986
      1868.0    11.806044   339.469073   410.936916  2908.544709     2.816186    96.419870    40.721649    55.698221    36.415841    37.187591          0.0   287.342846   281.872494          0.0     2.538502     0.483578
      1869.0    11.404722   342.863826   412.385771  2908.614622     2.762039    96.062753    40.351376    55.711377    36.364870    37.302434          0.0   287.308475   281.716589          0.0     1.600087     0.867651
      1870.0    11.871797   346.292405   413.798746  2908.866210     2.934205    95.970586    40.315975    55.654610    36.090310    38.340605          0.0   287.532093   282.077325          0.0     0.562396     1.998707
      1871.0    11.732753   349.755348   414.431139  2909.252487     3.179357    94.797629    40.019249    54.778380    36.468950    36.877178          0.0   287.713653   282.427472          0.0     2.509678     0.021951
      1872.0    12.953668   353.252866   416.423781  2908.788609     3.266155    96.104599    40.790794    55.313805    36.290298    37.252900          0.0   287.588543   282.097672          0.0     1.545252     1.426480
      1873.0    12.705470   356.785422   418.520205  2908.667740     3.239038    97.587517    41.313670    56.273846    36.539179    37.299378          0.0   287.458298   282.100653          0.0     1.917869     0.881069
      1874.0    13.467282   360.353278   421.648164  2908.106069     3.302757    98.787821    41.311783    57.476038    36.513842    37.510942          0.0   287.443206   281.953651          0.0     0.672881     1.558771
      1875.0    11.687437   363.956802   422.215586  2908.762645     3.331581    97.158640    40.447203    56.711437    36.873313    38.026953          0.0   287.532167   282.130410          0.0     1.852829     0.497064
      1876.0    12.925480   367.596372   423.431507  2908.793830     3.458356    97.092625    40.924194    56.168432    36.407707    39.218494          0.0   287.559169   282.108961          0.0     0.489779     2.779602
      1877.0    12.623473   371.272343   423.775338  2909.463431     3.531741    96.604396    40.677627    55.926769    36.770338    37.478584          0.0   287.797181   282.541594          0.0     2.855211     0.038644
      1878.0    15.016127   374.985089   426.962913  2908.079879     3.534365   100.174677    43.052252    57.122424    37.473827    35.867562          0.0   287.729014   282.528511          0.0     3.997116    -0.222713
      1879.0    14.788707   378.734918   432.376677  2906.960876     3.475026   101.881163    42.912973    58.968189    36.619801    38.928682          0.0   287.452418   282.141103          0.0    -1.429473     3.427885
      1880.0    13.444586   382.522265   433.550793  2908.121298     3.541254   100.101707    41.246854    58.854853    36.926825    38.640466          0.0   287.342128   281.916883          0.0     1.432272     0.553219
      1881.0    11.765169   386.347480   432.382584  2910.315979     3.543127    96.606753    40.358652    56.248101    36.765434    41.182824          0.0   287.583293   282.313266          0.0     0.344036     2.222709
      1882.0    12.994330   390.210948   431.669066  2910.443877     3.624271    96.894564    41.322678    55.571886    37.667486    37.194850          0.0   287.689501   282.294075          0.0     4.841346    -0.600534
      1883.0    16.244661   394.113052   436.724469  2908.143304     3.674507   102.040433    44.003597    58.036836    37.459582    36.686366          0.0   287.758139   282.514569          0.0     2.261828     1.527357
      1884.0    14.965794   398.054184   441.242321  2907.741215     3.765206   102.743850    42.763487    59.980364    37.192684    39.114399          0.0   287.769448   282.566454          0.0    -0.868764     2.323804
      1885.0    13.065586   402.034737   441.078890  2909.640776     3.785599    99.699367    40.917110    58.782257    37.483543    40.539393          0.0   287.808466   282.476267          0.0     0.541147     1.156290
      1886.0    13.741132   406.055086   441.216110  2909.831648     3.818813   100.804732    42.439206    58.365526    38.203696    38.572420          0.0   287.870561   282.701026          0.0     3.729566     0.177851
      1887.0    14.523951   410.115647   444.045896  2909.054309     3.841303   100.457431    42.325636    58.131795    37.634850    39.127321          0.0   287.898900   282.609406          0.0     0.368529     2.269811
      1888.0    15.208547   414.216757   445.240228  2909.405596     3.889041   102.002221    43.129883    58.872337    38.203899    38.659875          0.0   287.975080   282.744013          0.0     3.275676     0.104689
      1889.0    15.906743   418.358950   449.310489  2908.372019     3.912111   104.152079    44.139909    60.012169    38.267689    38.287484          0.0   287.935113   282.748312          0.0     1.782165     1.053372
      1890.0    14.621047   422.542563   452.379139  2908.383623     3.982214   104.085267    43.068584    61.016683    38.073997    40.675569          0.0   287.891504   282.678812          0.0    -0.675635     2.589969
      1891.0    14.454406   426.767974   452.860956  2908.942992     3.895978   103.139393    42.652234    60.487158    38.162112    39.356796          0.0   287.843276   282.527679          0.0     2.813622     0.635314
      1892.0    14.336882   431.035585   453.481931  2909.680008     3.963057   102.157014    42.443033    59.713981    38.197276    41.032449          0.0   288.124065   283.100011          0.0     0.789610     2.098157
      1893.0    14.514865   435.346025   453.958459  2909.745336     4.081387   102.523118    43.389559    59.133560    38.910021    38.954202          0.0   288.216047   283.246384          0.0     3.958829    -0.021148
      1894.0    16.478659   439.699476   457.732135  2907.944435     4.133814   105.113071    45.064582    60.048488    38.349534    38.467257          0.0   287.972505   282.702415          0.0     2.823649     1.918623
      1895.0    17.217370   444.096453   461.922280  2907.700924     3.941481   106.286349    44.307203    61.979146    37.953922    40.303224          0.0   287.963665   282.664835          0.0    -0.186166     2.592813
      1896.0    14.266934   448.537405   462.528273  2909.329094     4.000166   104.137371    42.692496    61.444875    38.450866    42.143780          0.0   288.153493   283.097267          0.0    -0.057277     2.064745
      1897.0    14.078350   453.022799   461.315603  2910.407843     4.215220   103.266380    43.157201    60.109179    39.560439    40.132079          0.0   288.352614   283.298118          0.0     4.237792    -0.507110
      1898.0    16.412873   457.553066   464.308488  2908.496587     4.355805   105.907550    44.716335    61.191215    39.519256    39.167554          0.0   288.515175   283.679068          0.0     2.555895     1.559554
      1899.0    17.408841   462.128525   468.503673  2907.490560     4.152678   107.536256    45.586461    61.949795    39.272978    39.357044          0.0   288.208781   283.230759          0.0     2.034232     1.090094
      1900.0    16.446964   466.749844   471.296758  2907.873033     4.138416   106.651933    43.889370    62.762563    38.913043    42.185730          0.0   288.154832   283.070039          0.0    -1.089445     2.890214
      1901.0    15.864200   471.417367   471.744153  2909.332861     4.073380   106.040542    44.039218    62.001324    39.423926    41.464693          0.0   288.221056   283.110325          0.0     2.127129     0.580938
      1902.0    16.500069   476.131529   472.985460  2909.698363     4.170663   105.580757    44.091673    61.489084    39.313567    40.904176          0.0   288.329303   283.208092          0.0     1.946190     1.225107
