        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
        1850    -2.352348   284.316986   512.210035  1507.751707    -0.035546   120.714717    59.968537    60.746181    62.505122    61.054082     0.037839   286.820902   281.013316            0     0.247125     0.694622
        1851     0.402213   284.450989   511.667203  1506.982542    -0.080525    121.61605    61.178611    60.437439    60.941993    61.117391      0.03918   286.565072   280.540851            0     0.604052     0.944563
        1852     1.068447   284.597992   511.914208  1507.589874     0.205487   122.612246    61.748878    60.863368     61.15977    61.680303     0.039128   286.636745   280.645283            0     -0.17843    -0.086798
        1853    -1.832434   284.730988   510.260503  1508.240971     0.084494    119.49553    59.196675    60.298855    61.357606    61.324434     0.039154   286.792308   280.878902            0    -0.474054    -0.684269
        1854    -0.456783   284.846008   508.828524  1507.780325    -0.056389   121.274232    61.214244    60.059989    61.820294    60.820188     0.039229   286.652064   280.506152            0     1.826034    -0.539461
        1855     0.088772    284.94101   508.828538  1507.985599     0.017768   120.785981    60.714636    60.071345    60.806721    60.896166     0.039175   286.602257   280.450347            0    -0.181543    -0.115829
        1856     0.737279   285.049011   508.452743  1508.347203    -0.041193   122.421395    61.853552    60.567843    61.265908    61.560965     0.039114    286.64956   280.515755            0     0.668382    -0.066547
        1857    -0.580012    285.20401   507.522626  1509.253445    -0.035282   119.288035    59.608183    59.679852    60.443915    61.125424        0.039   286.642191   280.416239            0    -0.587124    -0.224733
        1858    -0.034152   285.368988   506.339296  1509.407242    -0.005554   121.482741    61.254615    60.228126    61.595518    61.062419     0.038943   286.619559   280.468634            0     1.375527    -0.686896
        1859    -0.161796   285.545013   506.419761  1509.208828      0.05429   122.455303    61.609018    60.846285    62.160904     61.45039     0.038969   286.747883   280.918739            0     0.078163      -0.5121
        1860    -0.333629   285.739014    506.14039  1508.743396     0.048193   121.902381    61.201735    60.700646    61.968664    61.293781     0.027932   286.709655   280.726724            0     0.187324     -0.20945
        1861     0.105519   285.933014   505.807153  1508.151922    -0.013282   122.263333    61.746833      60.5165      62.0136    61.330789      0.02747   286.673826   280.783764            0     0.749282    -0.091338
        1862     2.561173   286.100006   506.782629  1508.351038     0.146864   124.309665    63.435649    60.874015    61.349335    61.852667     0.027542   286.523484   280.557363            0     0.607506     0.304217
        1863     0.534635   286.270996   507.805612  1508.537606     0.081747    123.00951    61.988656    61.020855    61.872315    61.893346     0.027501   286.663795   280.718696            0    -0.927673    -0.165537
        1864     -0.11342   286.441986   507.325864  1508.686612     0.023184   121.926632    61.597092    60.329541     62.07017    61.307891     0.027573   286.650799   280.622528            0     0.768948    -0.911285
        1865     2.123082   286.614014   508.338181  1508.566281     0.068417   124.258359     63.16411     61.09425    61.448112    61.957182     0.027589   286.527136   280.378104            0      0.19461     0.629402
        1866     0.301223   286.781006   508.462119  1509.142597      0.17047   123.359982    62.184064    61.175917    62.381226    62.075236     0.027621   286.767223   280.874843            0    -0.015109    -0.882307
        1867    -0.930657   286.954987    507.91052  1508.566493     0.106908   122.336352    61.270023    61.066329    62.650308    61.827845     0.027695   286.910443   281.016496            0    -0.006224    -0.246359
        1868     0.495078   287.105011   507.725282  1507.828171     0.094262   123.443219    62.393849     61.04937    62.284772     61.52388     0.027671   286.761016   280.751903            0     1.055208    -0.022571
        1869     1.998476   287.225006   508.894378  1507.690184     0.112783   125.476679     64.02166    61.455019    62.363774    62.220483      0.02767   286.723714   280.661754            0      0.63208    -0.005303
        1870     1.358335   287.355011   510.076856  1508.118934       0.1364   124.641185    63.086173    61.555012    62.090944    62.507382     0.050082   286.778881   280.781317            0    -0.603687    -0.012312
        1871     0.688845   287.493988   509.743453  1508.662406     0.132746   122.993845    62.268745      60.7251    61.957611    61.893032     0.050926   286.703464   280.610308            0     0.709115    -0.608052
        1872     1.934443   287.664001   510.608203  1508.659057     0.117706   125.251482     63.99397    61.257512    62.488093    62.184328     0.051108   286.684791   280.609475            0     0.944893    -0.300416
        1873     1.003983   287.859985   511.163098  1509.197294     0.119365    124.42548    63.146828    61.278653    62.628331    62.571398      0.05114   286.729683   280.657662            0     0.020534     -0.59517
        1874     1.618431   288.061005    511.79265  1509.232745     0.179447   125.750709    64.245654    61.505055    63.183225    62.847101     0.051427   286.652788   280.610833            0        0.769    -0.371575
        1875     2.265437   288.290985   513.057232  1509.601543     0.232421   126.664721    64.455462     62.20926    62.860451    63.693525     0.051638   286.776402    280.84489            0    -0.502646     0.464276
        1876    -0.729548   288.519989   511.733384  1510.502529     0.212558   123.133222    61.789058    61.344165    63.167097    63.115639     0.051631   286.841522   280.898588            0    -0.002734    -0.952443
        1877     1.123015   288.752014   511.339989  1510.475956     0.162298   125.655958    63.939458    61.716501    63.421133    62.982562     0.051603   286.794699   280.900718            0     1.350291    -0.411998
        1878     0.442967   288.993011     511.0291  1511.169453     0.287451   123.544826    62.420578    61.124247    62.726668    63.059458     0.051493   286.826873   280.928185            0    -0.327991    -0.360707
        1879     0.502182   289.221008   510.578812  1510.985053      0.26873   124.080817    63.026082    61.054735    63.226531    62.454824     0.051518   286.791498   280.744051            0     1.021547    -0.587307
        1880     0.277565   289.470001   510.752013  1510.511074     0.310975   124.825738    63.323023    61.502715    63.843923    62.930091     0.042631   286.856371   280.938593            0      0.21973    -0.439853
        1881     0.499422      289.737   510.534266   1510.30967     0.262304   125.189079    63.584282    61.604798    63.873174    63.301298     0.042445   286.839902    281.00103            0     0.500731    -0.370472
        1882     2.177368   290.019012   511.535389  1510.106843     0.389059   126.477179    64.480758    61.996421    63.250493    63.463645     0.042378   286.735588   280.634226            0      0.01599     0.415979
