        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout     fcsoilout
         1.0    -0.759793   284.653662   434.703101   535.910685     0.240504    96.287668    51.913884    44.373784    46.893958    47.493936          0.0   286.486356   280.694991          0.0     3.166044  0.000000e+00
         2.0     2.957473   285.777371   435.209971   536.233704     0.238714    98.179702    53.169229    45.010473    46.940266    47.263285          0.0   286.448686   280.702182          0.0     5.399074  0.000000e+00
         3.0     6.566497   288.212064   434.969807   536.279764     0.735942    98.274031    53.480029    44.794001    47.098313    47.144373          0.0   286.477578   280.769091          0.0     6.575820  0.000000e+00
         4.0     5.876613   290.722426   435.042110   536.707043     0.860276    97.652488    52.892526    44.759961    47.584288    48.011566          0.0   286.563827   280.782069          0.0     4.808657  0.000000e+00
         5.0     7.441788   293.549854   434.816348   536.707310     1.186730    97.971824    53.237376    44.734448    46.990127    46.990394          0.0   286.531485   280.874521          0.0     6.472744  0.000000e+00
         6.0     8.176907   296.139349   435.613000   536.431098     1.506896    99.165869    54.150954    45.014915    47.206356    46.930143          0.0   286.628717   280.881210          0.0     6.424159  0.000000e+00
         7.0     7.778214   298.796209   436.439430   536.798065     1.532063    98.934789    54.019582    44.915207    47.363937    47.730905          0.0   286.550854   280.686716          0.0     5.462247  0.000000e+00
         8.0     9.049549   301.671137   437.277846   537.010907     1.698884   100.949769    55.037448    45.912321    48.121762    48.334604          0.0   286.686000   281.015745          0.0     5.864428  0.000000e+00
         9.0    10.043083   304.503609   437.998163   537.531440     1.914787   100.956897    55.533541    45.423356    47.395950    47.916483          0.0   286.515496   280.809324          0.0     6.896742  0.000000e+00
        10.0     9.993765   307.003475   439.934016   538.501755     1.725457   104.233429    57.742912    46.490517    48.214246    49.184561          0.0   286.478239   280.645199          0.0     6.622498  0.000000e+00
        11.0     9.176393   310.519732   440.010634   539.495182     2.169127   100.261844    54.889760    45.372084    48.858333    49.851760          0.0   286.748483   280.882887          0.0     4.961382  0.000000e+00
        12.0     9.865580   314.254161   439.952645   538.425406     2.478975   103.216262    56.117262    47.099000    49.588762    48.518986          0.0   286.949418   281.421007          0.0     7.656264  0.000000e+00
        13.0    10.942415   316.628273   441.312435   538.641772     2.407211   105.616556    58.666954    46.949602    48.646610    48.862977          0.0   286.640968   280.930630          0.0     8.444188  0.000000e+00
        14.0    10.515232   319.125964   443.118787   540.358571     2.319780   105.922718    58.906551    47.016167    49.042654    50.759453          0.0   286.630618   280.946028          0.0     6.340746  0.000000e+00
        15.0    11.440237   322.377300   444.860433   541.180964     2.477221   106.443717    59.181021    47.262697    50.286273    51.108666          0.0   286.634773   280.882765          0.0     6.330710  0.000000e+00
        16.0     9.937757   325.975711   445.930661   541.661863     2.584417   104.244772    57.292752    46.952021    50.191198    50.672097          0.0   286.792745   281.083705          0.0     5.550426  0.000000e+00
        17.0    12.104568   330.148714   445.165202   540.782053     3.172080   103.047612    56.762917    46.284695    50.056429    49.176619          0.0   286.943943   281.402265          0.0     8.351757  0.000000e+00
        18.0    10.765204   332.471425   447.479132   540.805661     2.990301   107.256311    59.368673    47.887638    50.046490    50.070098          0.0   286.928310   281.378867          0.0     6.984645  0.000000e+00
        19.0    12.950175   335.262659   449.168372   542.146327     3.140223   107.780483    60.349395    47.431088    49.707054    51.047719          0.0   286.691739   280.992144          0.0     7.612435  0.000000e+00
        20.0    13.642606   338.257239   451.203947   543.882171     3.050450   110.188458    61.664160    48.524297    50.361230    52.097074          0.0   286.717623   280.957366          0.0     7.531512  0.000000e+00
        21.0    13.127948   341.357459   453.491066   545.940280     3.151870   111.393549    62.248105    49.145445    51.341992    53.400101          0.0   286.769043   281.021885          0.0     6.560884  0.000000e+00
        22.0    13.024334   345.401222   454.563399   546.993901     3.502494   108.668940    60.486486    48.182454    52.013223    53.066844          0.0   286.879135   281.323570          0.0     6.347309  0.000000e+00
        23.0    14.545878   348.803209   456.608414   547.160680     3.509415   112.629067    62.931910    49.697157    51.902909    52.069688          0.0   286.957259   281.470719          0.0     8.817206  0.000000e+00
        24.0    13.037857   352.290924   458.334043   548.031944     3.701180   112.232819    62.768026    49.464792    52.458453    53.329716          0.0   286.937668   281.478590          0.0     7.712681  0.000000e+00
        25.0    14.643174   355.670139   460.402934   548.815819     3.588959   113.038603    63.631190    49.407414    52.107805    52.891680          0.0   286.782000   281.141852          0.0     8.670619  0.000000e+00
        26.0    15.057059   358.689191   463.515781   550.352024     3.359770   116.337008    65.677852    50.659156    52.833156    54.369361          0.0   286.877053   281.247906          0.0     8.195644  0.000000e+00
        27.0    15.502387   362.079683   466.400526   552.517461     3.407717   116.593692    65.817919    50.775772    53.123901    55.289337          0.0   286.841278   281.174656          0.0     7.643837  0.000000e+00
        28.0    14.765042   366.147865   468.108806   554.266632     3.794998   113.293447    64.071207    49.222240    53.810438    55.559610          0.0   287.020381   281.334010          0.0     6.803318  0.000000e+00
        29.0    15.498240   369.915168   470.368284   555.233134     3.799073   115.817254    65.273844    50.543410    53.438240    54.404742          0.0   286.968066   281.331086          0.0     8.609624  0.000000e+00
        30.0    15.931435   373.414635   472.938797   556.561804     3.869255   117.712536    66.783395    50.929142    53.777446    55.106116          0.0   286.901995   281.324720          0.0     9.106767  0.000000e+00
        31.0    15.087163   376.708529   476.152700   558.682696     3.792630   118.037858    67.085088    50.952770    54.811811    56.932704          0.0   286.991371   281.360869          0.0     6.938481  0.000000e+00
        32.0    16.061315   381.520582   476.846389   559.517762     4.244286   116.323301    65.683385    50.639916    55.747512    56.582578          0.0   287.263897   281.879211          0.0     8.407119  0.000000e+00
        33.0    17.545941   384.506123   480.347768   560.682569     4.084756   121.273703    69.619059    51.654643    54.463747    55.628555          0.0   286.925630   281.246884          0.0    10.489125  0.000000e+00
        34.0    14.782594   387.770760   484.378439   563.286693     3.881019   120.819554    68.947138    51.872416    55.578725    58.182849          0.0   287.072470   281.336260          0.0     6.733619  0.000000e+00
        35.0    15.187436   393.094850   485.129911   563.752465     4.425314   116.300867    65.457223    50.843644    56.152234    56.618006          0.0   287.270616   281.676036          0.0     8.087745  0.000000e+00
        36.0    16.345393   397.477369   486.386076   563.091854     4.456837   118.678258    67.370195    51.308063    55.960749    55.300138          0.0   287.315557   281.809472          0.0    10.813892  0.000000e+00
        37.0    16.100624   400.821211   489.381386   563.577669     4.200261   121.085591    69.289391    51.796199    55.435250    55.921065          0.0   287.116989   281.548930          0.0    10.373016  0.000000e+00
        38.0    15.760264   404.261458   492.871267   565.198030     4.095716   122.903786    70.361324    52.542462    56.190980    57.811341          0.0   287.162937   281.585926          0.0     9.060103  0.000000e+00
        39.0    17.143173   408.336841   495.369428   566.934709     4.361537   122.672668    70.078532    52.594136    56.391438    58.128117          0.0   287.247544   281.772041          0.0     9.452253  0.000000e+00
