        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0    -4.003615   284.572954   418.169392   548.775100     0.152235    94.054899    50.765338    43.289560    47.230857    45.453023          0.0   286.485290   280.655073          0.0     5.293308          0.0
      1851.0     1.081274   284.054661   418.069103   548.589064     0.013374    98.632496    53.944678    44.687818    46.673580    46.487543          0.0   286.399258   280.592634          0.0     7.557424          0.0
      1852.0    -1.835196   283.761956   417.849519   549.994823     0.039041    98.214843    53.006882    45.207960    48.058695    49.464454          0.0   286.609684   280.804529          0.0     3.762013          0.0
      1853.0    -0.461935   285.081532   415.512825   548.718292     0.314256    95.133753    51.120027    44.013726    48.097137    46.820605          0.0   286.655349   280.978456          0.0     6.636116          0.0
      1854.0    -0.973631   284.780890   415.324627   547.700045     0.102645    96.715864    52.666440    44.049425    46.918297    45.900051          0.0   286.445007   280.741928          0.0     6.954587          0.0
      1855.0     1.859051   284.131883   415.788270   548.113158     0.025513   102.096407    56.179894    45.916514    47.113753    47.526866          0.0   286.368622   280.585191          0.0     8.189385          0.0
      1856.0    -2.351199   284.017444   415.987030   549.698395    -0.107755    98.223175    52.959936    45.263239    48.365592    49.950829          0.0   286.594104   280.904262          0.0     2.810347          0.0
      1857.0     0.908342   285.229495   414.263472   548.469502     0.324978    96.245939    51.856235    44.389704    47.768375    46.539481          0.0   286.643987   281.009967          0.0     7.040312          0.0
      1858.0    -0.132179   285.211972   413.658493   547.670809     0.284257    97.091823    53.006845    44.084978    47.328132    46.529439          0.0   286.486068   280.709010          0.0     7.082386          0.0
      1859.0    -1.919191   285.054279   413.753431   547.362415     0.135112    96.512639    52.245339    44.267300    47.326115    47.017721          0.0   286.533681   280.803757          0.0     5.132679          0.0
      1860.0     1.832438   285.293299   413.180902   546.750318    -0.013975    98.287778    53.894050    44.393728    46.663741    46.051643          0.0   286.452251   280.717434          0.0     8.414936          0.0
      1861.0    -0.212301   284.914969   413.426100   547.903951    -0.070281    98.504332    53.818332    44.686000    46.996219    48.149852          0.0   286.368829   280.472182          0.0     5.423283          0.0
      1862.0     0.310221   285.260510   412.812421   548.505280     0.034045    96.331564    52.761974    43.569590    46.742691    47.344020          0.0   286.383246   280.645095          0.0     6.031634          0.0
      1863.0     1.149616   285.372824   413.242149   548.316397     0.016059    98.669702    53.977553    44.692149    47.262585    47.073702          0.0   286.420787   280.678532          0.0     6.474123          0.0
      1864.0    -1.252609   285.721603   413.004448   548.431200     0.178954    96.154367    52.082953    44.071414    47.513009    47.627812          0.0   286.554603   280.910505          0.0     4.692843          0.0
      1865.0    -0.072263   286.727302   411.489986   546.938970     0.349182    94.822711    51.176650    43.646060    47.672177    46.179947          0.0   286.639071   281.026193          0.0     6.511166          0.0
      1866.0    -1.382372   286.850177   410.769789   545.615752     0.470085    94.176487    51.127991    43.048496    47.056332    45.733115          0.0   286.638078   280.951192          0.0     6.115073          0.0
      1867.0    -1.120112   286.864930   410.073907   544.440885     0.548356    94.438610    51.206475    43.232135    46.611391    45.436524          0.0   286.601476   280.817478          0.0     6.465833          0.0
      1868.0    -0.017419   286.834578   409.226266   543.916928     0.422720    95.159972    51.688430    43.471543    46.336476    45.812519          0.0   286.526907   280.778242          0.0     6.723552          0.0
      1869.0     0.501258   286.676718   409.179703   543.790974     0.119955    97.545606    53.425929    44.119677    46.834876    46.708922          0.0   286.542501   280.962464          0.0     6.763570          0.0
      1870.0    -0.186726   286.516412   409.533791   544.177981     0.114322    97.440095    52.882611    44.557484    46.890444    47.277451          0.0   286.581609   280.855229          0.0     5.251072          0.0
      1871.0    -0.086663   286.930414   408.669299   544.207165     0.312801    96.330604    52.292058    44.038547    47.199322    47.228506          0.0   286.579818   280.786624          0.0     5.928044          0.0
      1872.0    -0.475051   287.508339   407.522083   543.485278     0.342870    95.620810    51.530692    44.090119    47.067646    46.345760          0.0   286.633759   280.942732          0.0     6.332148          0.0
      1873.0    -0.783171   287.739654   406.263842   542.836509     0.447426    94.139884    51.227475    42.912409    46.192730    45.543961          0.0   286.525660   280.829159          0.0     6.941755          0.0
      1874.0    -0.852348   287.690936   405.808068   542.231751     0.367813    94.859128    51.325795    43.533333    46.721392    46.116634          0.0   286.636406   280.930644          0.0     5.664935          0.0
      1875.0    -0.129592   287.965155   404.834489   541.745869     0.246601    95.142003    51.291910    43.850093    46.134566    45.648683          0.0   286.634133   280.925346          0.0     6.616806          0.0
      1876.0     0.397156   287.728307   404.802813   541.897942     0.028932    97.186492    53.153868    44.032623    46.328069    46.480142          0.0   286.533120   280.767338          0.0     6.705402          0.0
      1877.0     0.171710   287.863381   404.374109   542.447094     0.210808    96.288839    52.246356    44.042483    46.741220    47.290372          0.0   286.552359   280.797856          0.0     5.384688          0.0
      1878.0     0.690559   288.021939   404.347365   542.652536     0.175792    96.474958    52.578908    43.896050    46.541652    46.747094          0.0   286.556790   280.732747          0.0     5.858558          0.0
      1879.0     0.031243   288.411769   403.966242   542.453432     0.444121    96.572333    52.469470    44.102863    47.418738    47.219635          0.0   286.722367   281.102964          0.0     5.630958          0.0
      1880.0     0.337153   288.939667   403.053389   541.795994     0.396005    95.106291    51.585467    43.520825    46.651535    45.994096          0.0   286.569903   280.838885          0.0     6.504224          0.0
      1881.0     0.461320   289.024640   402.627988   541.563464     0.282075    95.580644    52.025382    43.555262    46.032219    45.799689          0.0   286.529803   280.781845          0.0     6.651094          0.0
      1882.0     1.267910   288.736264   403.047470   542.123384     0.163623    97.820435    53.532311    44.288123    46.038934    46.598854          0.0   286.444991   280.732909          0.0     6.513976          0.0
      1883.0    -0.871609   289.217884   402.432536   542.877256     0.400250    95.942216    52.545194    43.397022    47.764156    48.518029          0.0   286.546274   280.831427          0.0     4.642099          0.0
      1884.0     2.153285   289.856808   401.303828   542.073966     0.597842    95.234414    52.979451    42.254964    45.962683    45.159393          0.0   286.191025   280.111557          0.0     8.948765          0.0
