        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     5.972639   286.756545   539.622793  1488.019886     0.156510   108.549295    57.465514    51.083833    56.872986    57.025278          0.0   288.130749   283.805139    32.391533     1.109423     0.488415
      1851.0     5.380962   289.624119   539.063539  1487.730031     0.608884   108.319917    57.089085    51.230826    57.592536    57.078312          0.0   288.231984   284.056442    32.587955     0.570033    -0.224368
      1852.0     7.600603   292.520340   538.614270  1487.486443     0.961810   109.634946    58.394519    51.240413    57.079522    57.056040          0.0   288.038220   283.774541    32.805450     1.787762     0.220105
      1853.0     8.675967   295.445567   539.854854  1487.540216     1.081973   110.676832    59.041447    51.635386    56.826312    57.016383          0.0   288.062977   283.814481    33.025494     0.784480     0.136297
      1854.0     8.630933   298.400008   540.753554  1487.706629     1.222817   110.957059    59.117595    51.839463    57.138696    57.206469          0.0   288.156793   283.942698    33.282490     1.012427    -0.098641
      1855.0     9.410500   301.384011   541.777248  1488.015373     1.379907   111.521063    59.419276    52.101804    56.886295    57.439667          0.0   288.151067   283.929275    33.399628     0.955898     0.244628
      1856.0     8.951284   304.397844   542.932165  1488.167443     1.665123   112.051011    59.508164    52.542837    57.791109    57.449030          0.0   288.293964   284.065474    33.353630     0.904226    -0.494150
      1857.0     8.737128   307.441824   544.567177  1487.161755     1.759638   112.778099    59.862574    52.915541    58.527909    57.368303          0.0   288.340994   284.321613    33.260693     0.859244    -0.153918
      1858.0    11.105355   310.516254   546.346279  1486.978963     1.917238   113.083688    60.607051    52.476619    57.130917    57.670070          0.0   288.070333   283.819193    33.184715     1.157896     0.721946
      1859.0    11.996539   313.621412   548.396592  1488.034584     1.991197   112.995625    60.611594    52.384015    56.390609    57.829746          0.0   288.059317   283.729407    33.072731     0.731552     0.383516
      1860.0    11.104695   316.757612   549.914690  1489.300751     2.225076   113.443313    60.475060    52.968263    57.439480    58.259944          0.0   288.248999   283.948806    33.042824     0.697009    -0.445703
      1861.0     9.814667   319.925191   551.729388  1489.070683     2.275080   115.022396    60.982194    54.040203    59.346037    58.390484          0.0   288.476470   284.361715    33.133133     0.777012    -0.725485
      1862.0    12.442492   323.124462   553.739221  1488.942114     2.371646   115.518635    61.798892    53.719729    57.680418    58.593836          0.0   288.247208   284.096898    33.377178     1.195237     1.041988
      1863.0    12.368876   326.355703   555.426890  1490.222013     2.394827   113.973771    61.025826    52.947944    57.054899    58.685677          0.0   288.047203   283.784439    33.704521     0.652481     0.350879
      1864.0    12.902731   329.619253   557.528307  1491.912498     2.463699   116.244452    62.285016    53.959423    57.903255    59.196631          0.0   288.235268   283.937060    34.025612     0.986982    -0.397109
      1865.0    12.163215   332.915461   559.379748  1492.807775     2.606149   116.675997    62.200230    54.475730    58.778683    59.239761          0.0   288.506502   284.292732    34.163643     1.109064    -0.434199
      1866.0    10.437162   336.244596   560.993737  1492.524585     2.702389   115.841522    61.261364    54.580142    59.740504    59.132991          0.0   288.544641   284.490945    34.162144     0.514400    -0.324323
      1867.0    12.648178   339.607044   562.520470  1492.838425     2.789836   115.249201    61.479659    53.769567    57.909388    59.127869          0.0   288.240792   284.031704    34.139374     0.825032     0.904640
      1868.0    13.619694   343.003111   564.256262  1494.166931     2.898966   116.782374    62.491285    54.291130    58.134265    59.454817          0.0   288.287698   284.143672    34.086990     1.300634    -0.007954
      1869.0    14.678508   346.433138   567.033856  1495.532571     2.996163   118.328370    63.467701    54.860680    58.231686    59.705658          0.0   288.347107   284.148744    33.970062     0.984439     0.108331
