        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout
      1850.0     5.600991   284.153270   429.924437   965.805355     0.111703   119.565815    61.571886    57.993929    58.070619    57.155085          0.0   286.639302   280.947596    33.753174     1.324958
      1851.0     6.439790   286.640059   430.746986   965.774107     0.603703   118.927592    61.294846    57.632745    58.630853    58.599606          0.0   286.681810   280.778132    33.933105     1.872691
      1852.0     4.588712   289.506468   429.300242   966.627145     0.694940   116.049786    58.853113    57.196673    58.636717    59.489756          0.0   286.872302   281.109658    33.717541     0.810102
      1853.0     5.899744   292.401529   428.349331   965.722365     0.834873   116.990804    60.042880    56.947924    58.743881    57.839102          0.0   286.987448   281.447505    33.574539     3.154688
      1854.0     9.284927   295.325517   429.414575   964.756397     1.182736   121.382703    62.714790    58.667913    58.466290    57.500321          0.0   286.844564   281.204772    33.660721     4.149225
      1855.0     9.829310   298.278783   430.765752   965.581696     1.295833   124.497227    64.487230    60.009997    59.816792    60.642090          0.0   286.775744   281.104485    33.934425     2.493963
      1856.0    11.243815   301.261569   433.730586   965.604725     1.289790   126.885444    66.245756    60.639688    60.156511    60.179540          0.0   286.694978   280.935552    34.025429     3.101382
      1857.0    12.008178   304.274167   436.827639   966.348234     1.297223   128.733374    67.264864    61.468510    60.621493    61.365002          0.0   286.729700   280.809574    34.001434     2.802809
      1858.0    12.313855   307.316899   439.260258   968.378730     1.563463   131.454180    68.451679    63.002501    61.609733    63.640229          0.0   286.814400   281.018184    34.383213     2.378831
      1859.0    11.281120   310.390105   441.005252   970.143986     1.639611   130.851988    67.830811    63.021177    62.172221    63.937477          0.0   286.931045   281.238273    34.471085     2.148340
      1860.0     8.953847   313.493989   441.299538   971.680147     1.864112   126.491708    65.079298    61.412411    61.941357    63.477518          0.0   287.027512   281.372544    34.428020     1.307494
      1861.0    10.926217   316.628940   442.521659   972.113269     2.044684   130.145643    67.387401    62.758242    62.502194    62.935316          0.0   287.017163   281.301934    34.294014     3.229963
      1862.0    11.804732   319.795227   444.136095   972.971585     2.225512   130.939381    67.630902    63.308479    62.245950    63.104266          0.0   287.107174   281.425860    34.367058     2.912201
      1863.0    10.909003   322.993211   444.671166   974.984399     2.152976   130.459818    67.077265    63.382553    62.553403    64.566218          0.0   287.203892   281.591763    34.420860     1.975976
      1864.0    11.241005   326.223109   445.798403   975.568740     2.286473   129.664290    66.687264    62.977027    62.011370    62.595711          0.0   287.138796   281.591932    34.547512     2.964316
      1865.0    12.413456   329.485361   447.625038   976.107494     2.407573   133.773875    69.247241    64.526633    63.742957    64.281710          0.0   287.190633   281.664080    34.546268     3.138896
      1866.0    13.986991   332.780222   450.018248   977.670712     2.569741   135.107832    70.083634    65.024198    63.033969    64.597187          0.0   287.063622   281.383838    34.583572     3.093237
      1867.0    14.581111   336.107996   453.984563   978.436868     2.543752   138.679535    71.901906    66.777629    64.309431    65.075587          0.0   287.066722   281.531385    34.780193     2.860004
      1868.0    12.658490   339.469073   455.961569   980.569211     2.745944   136.841005    70.160664    66.680340    64.492360    66.624703          0.0   287.190633   281.667038    34.693604     1.558955
