        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
        1850     -1.43378   284.316986   461.334182  1214.723059    -0.128323   168.639283    51.351767   117.287516    50.128259     51.98807     0.001857   287.026233   282.137645            0     1.764544     2.610892
        1851    -0.482744   284.450989   460.321665  1213.830242     0.039389   168.589303    52.604934   115.984369     50.28046    51.163556     0.677772   287.105119   282.259531            0     2.453895     1.775914
        1852     0.933134   284.597992   460.697478  1212.795688     0.117824   172.384247    53.849208   118.535039    50.457255    51.800439     0.685661   287.187587   282.357922            0     1.672956     2.377738
        1853    -1.045077   284.730988   461.390019  1212.678641     0.097021   169.986354    51.692462   118.293892     50.32437    52.772218     0.709959   287.174202   282.298551            0    -1.772297     2.564894
        1854    -1.429476   284.846008   460.311288  1212.211633    -0.066286   170.430209    52.047146   118.383063    50.232642    52.005982     0.716034   287.232722   282.469335            0     1.119895     2.240348
        1855      0.39613    284.94101   458.851955  1212.191948    -0.110915   170.487191    52.968115   117.519075    49.549988    52.508852     0.722216   287.010209   282.125127            0     1.918597     2.978548
        1856     0.170194   285.049011   458.824081  1212.532218    -0.153683   171.411484    53.089034   118.322449    49.732955    52.399826     0.726575   286.951954   282.159233            0     0.717082     2.326601
        1857     2.207829    285.20401   457.691614  1213.118404     0.201352   172.289241    54.833566   117.455675    49.902747    52.987803     0.730083   286.977763    282.11513            0      2.97823     2.498869
        1858     0.119822   285.368988   459.230508  1213.604778       0.1135   169.447457    52.556435   116.891022    49.714613    52.624689     0.732864   287.024347   282.041608            0    -1.607147     2.423702
        1859    -1.541143   285.545013   458.893639  1213.116124     0.128865   169.936655    51.863292   118.073363    50.227579    51.901382     0.735372   287.111949   282.101767            0      0.29878     2.162457
        1860    -0.836478   285.739014   457.807174  1212.408844     0.201216   168.412261    52.091363   116.320898    50.530747    51.970379     0.737333   287.214983   282.329074            0     1.207448     2.146912
        1861    -0.653614   285.933014   457.106092  1211.891087     0.057341   167.933169    52.140458   115.792711    50.395321    51.949589     0.741303   287.210711   282.355065            0     0.891951     2.072026
        1862     2.242817   286.100006   456.585931   1211.54852    -0.050196   172.250522    54.786276   117.464246     49.91535     52.02607     0.708258   287.044819   282.235689            0     3.280367     2.453286
        1863     2.552799   286.270996   458.286004  1212.419244     0.089846   173.428596    54.137815   119.290781    49.092287    53.063428     0.682669   286.953827   281.969181            0    -0.625685     3.100416
        1864     0.542758   286.441986   458.594054  1213.549776     0.144967   175.287858    53.453406   121.834452    50.289173    53.035921     0.676762    287.04983   282.034584            0     0.109435     1.616216
        1865    -0.330458   286.614014   458.528459  1213.420352     0.140632   171.353855     52.51394   118.839915    50.015572    52.612418     0.671906   287.139098   282.286659            0    -0.032883      2.72627
        1866     0.496345   286.781006   457.843995  1213.621593     0.147257   169.823723    52.849595   116.974128    49.679778     52.17707      0.66776    286.98289   281.921157            0     1.356989     2.296052
        1867      1.07292   286.954987   458.277593  1213.571806     0.111252   172.744025    53.717268   119.026757    50.037882    51.878257     0.664637   286.987042   281.977253            0     1.405412     1.890161
        1868      0.17126   287.105011   458.809485  1213.235592     0.064444   173.255522    53.063756   120.191766    50.116812    52.539448     0.661733   287.161616   282.200087            0    -0.007583      2.75885
        1869    -0.714536   287.225006    458.62491  1213.192615     0.025573   174.476164    52.509632   121.966532    50.385239    52.715303     0.659137   287.100745   282.146254            0    -0.021096     2.373041
        1870     1.842424   287.355011   457.764819  1213.517931    -0.000076   174.497781    54.368285   120.129496    49.794006     52.59088     0.656614   286.872888   281.900086            0     2.637496     2.471558
        1871     0.728959   287.493988   458.386509  1213.735081     0.063535   171.429813    53.627737   117.802077    50.031711     52.68936     0.660849   286.990526   282.017234            0     0.316686     2.440499
        1872     0.112103   287.664001   458.724802  1213.892452     0.056714   168.868776    52.824104   116.044672    49.989415    52.382701     0.720248   287.101464   282.122906            0     0.103109     2.235916
        1873     1.013448   287.859985   458.562961    1213.8838     0.146483   170.457156    53.442839   117.014317    49.773374    52.042872     0.771993   287.103851    282.23333            0     1.561809     2.278149
        1874    -0.391165   288.061005   459.501379  1213.360302      0.30178   173.423953    52.443638   120.980315    50.219072    52.228349     0.789858    287.26148    282.37228            0    -0.723129     2.532775
        1875    -0.176518   288.290985   458.510173   1213.26205     0.366769   170.101276    52.210107    117.89117    49.823703    52.371279     0.806123   287.170852   282.187102            0     0.830033     2.645828
        1876    -1.487332   288.519989   457.480156  1212.337194     0.360096   172.398561    52.383513   120.015048    51.069717    52.229609     0.819196   287.292629    282.37016            0     1.183921     2.084748
        1877     0.274644   288.752014   456.093314  1212.255828     0.221126   172.505969    52.853609    119.65236     50.27704    53.232082     0.831842   287.284887   282.362537            0     1.008369     3.036409
        1878     0.435043   288.993011    454.67535  1212.971508     0.288509   168.373288    52.584145   115.789143    49.867904    52.799267      0.84158    287.22591   282.349763            0     1.202842     2.215683
        1879    -0.523331   289.221008   453.931961  1212.826789     0.184516   171.343308    52.633126   118.710182    50.352865    52.357049      0.85119   287.200202   282.328894            0     1.019466     2.148903
        1880     1.125698   289.470001   453.709798  1212.505076     0.186502   173.104953    53.887795   119.217158    50.288338    52.160799     0.860588   287.136524   282.239133            0     1.949159     2.194173
        1881     1.918531      289.737    454.15942   1212.60458     0.396193   172.524658     53.84958   118.675079    49.337802    52.742523     0.875469   287.096191   282.136844            0     0.657434     3.305218
        1882    -0.597233   290.019012   454.124001  1213.008306     0.400008    170.49707    52.201609   118.295462    50.377868     52.81802     0.900587   287.147512   282.236138            0    -0.580992     2.036425
        1883     3.303033      290.263   452.369142  1213.361325     0.323358   171.326057    55.013227    116.31283    49.298556    52.674827     0.893945    286.95779   281.990662            0     4.093259     3.023252
        1884      3.72284   290.511993   453.997162  1214.889133     0.682889    170.88737    54.534742   116.352628    48.595293    52.765914     0.905481   286.786897   281.596114            0     0.140808     2.642814
