        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
         1.0     6.558815   286.756545   538.735673  2715.919031     0.143198    97.126354    38.307685    58.818669    36.730861    36.753183          0.0   287.654203   282.420758          0.0     1.959440    -0.300019
         2.0     6.856773   289.624119   538.743965  2716.051355     0.495963    95.415915    37.706383    57.709532    36.019786    36.819516          0.0   287.705066   282.493645          0.0     0.878575     0.667406
         3.0     6.975575   292.520340   539.165489  2715.993662     0.741856    97.393203    38.571498    58.821705    37.153684    36.975477          0.0   287.794063   282.624838          0.0     1.174497    -0.120515
         4.0     8.206580   295.445567   540.060493  2715.712454     0.917966    98.619097    39.162644    59.456453    36.806352    37.338957          0.0   287.610709   282.459565          0.0     0.928683     0.813814
         5.0     7.854240   298.400008   540.732057  2715.787105     1.209305    97.775032    38.767571    59.007461    36.966564    37.103890          0.0   287.752149   282.576808          0.0     0.992117     0.062675
         6.0     8.743486   301.384011   541.652197  2715.408129     1.392144    99.339597    39.289711    60.049886    37.037000    37.081338          0.0   287.846495   282.846250          0.0     1.288234     0.423314
         7.0     9.310073   304.397844   542.723348  2715.610551     1.608540    99.000603    39.148520    59.852083    36.414011    37.370969          0.0   287.743294   282.655618          0.0     0.706399     0.754536
         8.0     9.824659   307.441824   543.627247  2716.086191     1.786063    99.683286    39.436856    60.246430    36.491458    37.472990          0.0   287.637583   282.497725          0.0     1.059966     0.505892
         9.0    10.396226   310.516254   544.914222  2716.438209     1.907279   101.069475    40.211552    60.857923    36.791209    37.491557          0.0   287.476106   282.198101          0.0     1.433021     0.348330
        10.0    10.510296   313.621412   546.247024  2717.036664     2.052858   102.316255    40.487486    61.828768    36.838194    38.056289          0.0   287.496059   282.259491          0.0     1.098395     0.619639
        11.0    10.134491   316.757612   547.456490  2717.553895     2.063776   102.493635    40.034113    62.459522    37.266698    37.826928          0.0   287.513979   282.223963          0.0     0.997719     0.043000
        12.0    10.443999   319.925191   548.467864  2718.043075     2.190008   102.995432    40.200092    62.795341    37.102463    38.280261          0.0   287.662124   282.477618          0.0     0.908456     0.688617
        13.0    10.940693   323.124462   549.687825  2718.457941     2.380714   102.926159    40.373173    62.552987    37.200908    37.744187          0.0   287.704511   282.573959          0.0     1.409026     0.128412
        14.0    11.147668   326.355703   551.361900  2718.698550     2.379896   103.930292    40.987809    62.942483    37.549813    37.983729          0.0   287.877488   282.606983          0.0     1.330005     0.193307
        15.0    11.259168   329.619253   553.129843  2718.933222     2.367117   103.986836    40.753895    63.232941    37.191069    38.560058          0.0   288.039714   282.951753          0.0     0.425893     1.134317
        16.0    11.520206   332.915461   554.473597  2719.656296     2.529343   105.511464    40.912787    64.598677    37.367880    38.275286          0.0   288.133249   283.069197          0.0     1.293748     0.184332
        17.0    11.859875   336.244596   555.829758  2720.242660     2.689070   105.067533    41.012356    64.055176    37.338888    38.278373          0.0   288.129182   283.137228          0.0     1.377822     0.353120
