        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
        1850     0.236736   284.316986   538.023143  2716.880516     0.138731    95.301631    37.274269    58.027362    36.119751    36.789142            0   287.586665   282.211178            0     2.090812      0.13096
        1851    -0.192996   284.450989   536.956357  2717.172261     0.017071    96.647512    37.703863    58.943648    36.281761    36.858302            0   287.803153    282.67947            0     1.912347     0.284796
        1852     0.043592   284.597992    536.42847  2717.217321     0.081482    96.351657    37.890153    58.461504    36.363109    36.971888            0   287.707629   282.497886            0     1.446152     0.563719
        1853    -0.440289   284.730988   535.358799   2717.39429     0.211076    95.461969    37.579226    57.882743     36.42998    36.805057            0   287.837581   282.714409            0      1.84384     0.198107
        1854    -1.151986   284.846008   534.264154  2717.106681     0.007304    94.423263    37.533753     56.88951    36.859372    36.431006            0   287.888314    282.82199            0     2.197392    -0.140757
        1855     0.184761    284.94101   534.030848   2716.56602      0.13095    96.508496    38.421719    58.086777    36.564378      36.8926            0   287.656942   282.501844            0     1.762424     0.868882
        1856     0.446925   285.049011   533.899834  2716.439568     0.285873    96.506951    38.586249    57.920701    36.711221    36.962327            0   287.627193   282.382755            0     1.754937     0.377558
        1857     0.101031    285.20401   533.553481  2716.569946     0.166473    97.350245    37.867281    59.482964    36.353527    37.172651            0   287.857526   282.718449            0     1.040982     0.688746
        1858    -0.328592   285.368988   532.281997  2716.959801     0.151284    95.676571    37.741563    57.935008    36.548007    36.968178            0   287.690891   282.621568            0     2.044869     0.030316
        1859     0.147469   285.545013   531.945843  2716.661957     0.146437     96.02514    38.355977    57.669163    36.741042    36.819416            0   287.419501   282.191443            0     1.872715     0.376218
        1860     0.249418   285.739014   531.760459  2716.336432     0.233762    96.974839     38.72893    58.245909    37.045407     36.82781            0    287.35749    282.09533            0     2.086503     0.107928
        1861     0.084869   285.933014   531.221202  2716.410881     0.141289    96.005391    37.756657    58.248734    36.229773     36.98305            0   287.362057   282.066999            0     1.312864     0.678828
        1862     0.494043   286.100006   531.113835  2716.375622     0.248982    96.107199    38.188263    57.918936    36.350704    37.099555            0   287.413797   282.178071            0     1.196076      0.78411
        1863    -0.679175   286.270996   529.977566  2716.807747     0.299491    95.060725    37.145679    57.915045     36.23398    36.686664            0   287.728857   282.455398            0     1.595284     0.020559
        1864    -1.038794   286.441986   528.496644  2716.576319     0.188775    94.412052    37.059209    57.352843    36.521279    36.535196            0   287.869746   282.814601            0     2.004935     0.245345
        1865     0.748992   286.614014   528.428034  2715.793497     0.244505    97.129851    38.950727    58.179123    37.026049    36.472558            0    287.60942   282.567486            0      2.54678      0.22933
        1866     0.539135   286.781006   528.764011  2715.606976     0.249672    96.271943    38.133752    58.138191    36.109968    37.090195            0   287.495632   282.279735            0      0.70758     1.166747
        1867     0.423846   286.954987   528.175094  2715.940816     0.377839     96.75483    37.717781    59.037049     36.16568      36.6882            0   287.513707   282.276504            0     1.618498     0.188681
        1868    -0.312746   287.105011   527.964361  2715.692227     0.282297    96.047771    37.870573    58.177198    36.876657    36.586955            0   287.858231   282.736797            0      1.49435    -0.041113
        1869    -0.552345   287.225006    526.59224  2715.671059      0.23712    94.311748    37.078291    57.233457    36.001699    36.635661            0   287.790045   282.700473            0     1.814751      0.65513
        1870     0.637583   287.355011   526.247816  2715.505198     0.352771    95.915205    38.300469    57.614736    36.162334    36.553622            0   287.540348    282.39359            0     2.091272     0.557149
        1871    -0.133713   287.493988   525.758721  2715.609401     0.280602    95.316438    37.557737    57.758701    36.015311    36.569329            0   287.615537   282.387136            0     1.477503     0.449815
        1872    -0.394925   287.664001   524.924154  2715.684895     0.138127    95.835692    37.589057    58.246635    36.247582    36.606982            0   287.601558   282.436527            0     1.816642     0.283906
        1873     0.165045   287.859985   523.601659  2716.072011     0.324188    95.418954    37.393536    58.025417    35.631242    36.674618            0   287.454484   282.220792            0     2.041413      0.65626
        1874     0.450527   288.061005   523.094881  2716.050938     0.373899    95.435329    38.043685    57.391644     36.29285    36.066565            0   287.468565   282.177707            0     2.483897    -0.205211
        1875     0.468706   288.290985   523.145587  2715.689659     0.318936    96.453198    38.207774    58.245424    36.266472    36.650702            0   287.563431   282.349122            0     1.506366     0.745509
        1876     0.605884   288.519989   522.817194  2715.672356      0.32857    97.405001    38.469088    58.935913    36.350754    36.970139            0   287.629318   282.498636            0     1.827342     0.636688
        1877    -0.184748   288.752014    521.91947  2716.049784     0.330129    96.187807    37.374463    58.813345    35.847736    36.606281            0   287.774207    282.61696            0     1.665905     0.381116
        1878     0.535821   288.993011   521.201299  2715.938758      0.30465    97.699453     38.51008    59.189373    36.552373    36.826723            0   287.822101    282.71928            0     2.401529     0.385376
        1879    -0.372943   289.221008   520.292516  2716.116986     0.369993    95.347612    37.287053    58.060558    36.035786    36.638763            0   287.714616   282.547134            0     1.557073     0.424749
        1880      0.12715   289.470001   519.345201   2715.98683     0.347947    95.637137    37.544095    58.093042    36.168752    36.372425            0   287.750726   282.612314            0     2.118986      0.33383
        1881     0.201013      289.737   518.383718  2716.051207     0.367258    94.639933    37.266178    57.373754    35.608515    36.222691            0   287.618139   282.561474            0      2.00497     0.549798
        1882     0.480955   290.019012   518.097266  2715.830959      0.38806    96.528352    38.478143    58.050209    36.646598    36.378314            0   287.523057   282.195874            0      2.38628    -0.048036
        1883     0.840633      290.263   518.065081  2715.419831     0.371095     97.31654    38.639745    58.676795    36.263693    37.007572            0   287.668882   282.514046            0     1.664358     1.155007
        1884     0.807279   290.511993   517.587328  2715.735498     0.611737    97.092832    38.270121    58.822711     36.07266    36.552389            0   287.439307   282.108087            0     2.195485     0.164062
        1885      0.70028   290.796997   517.203146  2715.704021      0.44774    96.713478    38.415706    58.297772    36.273832    36.834522            0   287.619676   282.451951            0     1.965367     0.592167
        1886     0.393925   291.100006   516.957969  2715.598919     0.407365     96.94748    38.248008    58.699472    36.532593      36.9165            0   287.587185   282.506297            0     1.576685     0.489008
