        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     0.153335   283.154364   583.433866  1749.064552     0.057186   116.738835    58.696169    58.042667    57.064188    57.594504     0.000527   286.314074   280.345619     0.007387     1.209878     0.000402
      1851.0    -1.176382   283.276799   583.192140  1748.999166     0.058009   113.521716    56.845394    56.676322    57.436403    56.770032     0.001148   286.456306   280.664688     0.015818     0.317088    -0.600985
      1852.0     0.931467   283.837323   582.816901  1748.338479    -0.212555   117.506583    59.212792    58.293791    58.366997    58.029361     0.001191   286.304815   280.394297     0.017522     1.558670     0.323051
      1853.0     0.535008   283.427950   583.460486  1748.778881    -0.225765   121.344764    60.567221    60.777543    58.020820    58.925252     0.001267   286.256416   280.279073     0.019680     0.998383     0.464031
      1854.0    -0.607552   283.173855   583.572401  1749.532268    -0.239409   116.005986    58.019390    57.986596    56.971002    57.460446     0.001215   286.346896   280.438230     0.020239     0.447028    -0.263942
      1855.0    -0.118777   283.465959   583.300795  1749.525109    -0.252488   115.569979    57.998352    57.571627    57.595702    57.139721     0.001230   286.408569   280.493281     0.021526     1.130237    -0.448822
      1856.0     0.440023   283.799705   583.165341  1749.229126    -0.194682   116.935695    59.033328    57.902367    58.152050    58.150164     0.001256   286.411631   280.521690     0.023013     1.018618     0.294098
      1857.0    -0.013727   283.738618   583.196508  1749.543497    -0.152061   117.264622    59.326402    57.938221    58.098154    58.283484     0.001230   286.303357   280.233177     0.023498     1.011752    -0.129042
      1858.0     0.167041   283.682952   583.492307  1749.553440    -0.072669   118.660500    59.757408    58.903092    58.453612    58.418320     0.001231   286.289754   280.228531     0.024518     1.043289    -0.045235
      1859.0     0.020143   283.668395   583.724531  1749.493289     0.049766   115.745798    58.135256    57.610542    57.209416    57.350507     0.001236   286.378082   280.427073     0.025385     0.552525     0.201243
      1860.0    -0.437242   284.184905   583.226930  1748.833004     0.110392   115.114987    57.402267    57.712721    58.112254    57.008953     0.001101   286.491526   280.549177     0.024152     0.890915    -0.443017
