        time     emission          CO2         cveg        csoil        fgco2         fgpp         fnpp           ra          frh     fvegsoil         fluc          tas     tas_land        cprod     fcvegout    fcsoilout
      1850.0     1.012946   283.923842   581.891402  1766.275303    -0.178390   118.375781    59.488071    58.887710    57.665349    58.471513     0.000475   286.476926   280.571752     0.006778     0.828032     0.160242
      1851.0    -0.126529   284.055342   581.925303  1766.343855    -0.030447   115.858049    58.002623    57.855425    57.547232    57.141414     0.001043   286.485367   280.579542     0.014878     0.827309    -0.474370
      1852.0    -0.201631   284.196702   581.804580  1765.835035     0.000625   115.369704    57.949747    57.419957    57.585370    57.237939     0.001120   286.589567   280.741336     0.017020     0.832531     0.161389
      1853.0    -0.341537   284.328199   581.641086  1765.289216     0.240855   115.607909    58.145310    57.462599    58.136592    57.377360     0.001305   286.639964   280.698041     0.020540     0.931443    -0.213413
      1854.0    -0.353998   284.443257   581.702245  1764.391736    -0.129176   117.851833    59.176996    58.674837    58.689252    57.958700     0.001365   286.561111   280.694336     0.022371     1.157137     0.166929
      1855.0     2.281981   284.545169   582.199242  1764.982316     0.084187   120.620736    60.766329    59.854407    57.832679    59.261656     0.001358   286.432035   280.333557     0.023206     1.007676     0.838397
      1856.0    -0.430447   284.660230   582.478594  1765.427628     0.065495   116.041463    58.324277    57.717186    58.119273    57.390349     0.001269   286.625384   280.901326     0.022862     0.654576    -1.174237
      1857.0    -0.084725   284.804879   582.440353  1764.656055     0.015329   116.345164    58.424712    57.920452    57.918749    57.651764     0.001182   286.645317   280.917610     0.022496     0.811189     0.504588
      1858.0     0.364721   284.969246   582.369363  1764.680875     0.094216   114.325365    57.830981    56.494384    57.021099    57.126986     0.001136   286.627113   280.802442     0.022524     0.774986     0.081067
      1859.0    -0.512938   285.146776   581.993296  1764.191148     0.042629   116.409015    58.527424    57.881590    58.531922    57.542574     0.001222   286.665919   280.888034     0.024180     1.360917    -0.499621
      1860.0     2.092181   285.337447   582.487212  1764.145413     0.162185   119.338864    60.456726    58.882138    57.957026    59.030399     0.001152   286.590541   280.780879     0.023495     0.932411     1.119108
      1861.0    -0.930951   285.524831   582.188644  1764.453498     0.236726   112.107706    56.145702    55.962004    56.814516    55.935175     0.000920   286.687617   281.052040     0.020752     0.509094    -1.187427
      1862.0     0.258434   285.699073   581.756139  1763.549553     0.337423   113.451340    57.574351    55.876989    57.072778    56.738987     0.000910   286.604070   280.760773     0.020824     1.267869     0.570154
      1863.0     1.099268   285.870008   581.916289  1763.802744     0.381871   117.299949    59.171154    58.128796    57.843743    58.083589     0.000978   286.633390   280.801328     0.021719     0.927415    -0.013344
      1864.0    -0.707205   286.040957   581.864061  1763.409598     0.175035   114.940445    57.577440    57.363005    57.834101    56.806350     0.000942   286.615466   280.903580     0.021394     0.823317    -0.634605
